report_date,environment_type,falcon_instance,functional_domain,k8s_cluster,karpenter_status,cluster_packing_percent
2025-06-30,dev,fdev1-uswest2,monitoring,sam-processing1,Karpenter_Enabled,61.526251182745405
2025-06-30,dev,aws-dev2-uswest2,crypto,sam-mgmt-truth1,Karpenter_Enabled,61.660738386164624
2025-06-30,test,test1-uswest2,core4,sam-processing2,Karpenter_Enabled,61.66850489167853
2025-06-30,test,test1-uswest2,seas1,sam-processing1,Karpenter_Enabled,61.67480789151223
2025-06-30,dev,aws-dev2-uswest2,cdp1,sam-processing1,Karpenter_Enabled,61.77376685138364
2025-06-30,test,perf1-useast2,foundation,sam-control1,Karpenter_Enabled,62.0912236859581
2025-06-30,dev,dev1-uswest2,diffeo,sam-processing1,Karpenter_Enabled,62.125085511221315
2025-06-30,test,test1-uswest2,security,sam-mgmt-truth1,Karpenter_Enabled,62.39682483246802
2025-06-30,dev,aws-dev4-uswest2,scratchpad11,sam-processing1,Karpenter_Enabled,62.587831076793165
2025-06-30,dev,aws-dev5-apsouth1,foundation,sam-processing1,Karpenter_Enabled,62.6084941780592
2025-06-30,dev,aws-dev4-uswest2,cvw-dataplane1,sam-processing1,Karpenter_Enabled,63.04667298839889
2025-06-30,dev,aws-dev2-uswest2,dp-services,sam-processing2,Karpenter_Enabled,63.49583724544144
2025-06-30,dev,fdev1-uswest2,monitoring,sam-logging-monitoring1,Karpenter_Enabled,63.560163185625655
2025-06-30,dev,aws-dev2-uswest2,mulesoft-cp,sam-processing1,Karpenter_Enabled,63.565789066602704
2025-06-30,dev,aws-dev5-apsouth1,foundation,sam-log-mon1,Karpenter_Enabled,63.60221120942138
2025-06-30,test,aws-test2-useast2,foundation,sam-logging-monitoring1,Karpenter_Enabled,63.87079214013289
2025-06-30,dev,fdev1-uswest2,crypto,sam-mgmt-truth1,Karpenter_Enabled,64.1621579372387
2025-06-30,test,test1-uswest2,monitoring,sam-logging-monitoring1,Karpenter_Enabled,64.1729245215671
2025-06-30,test,test1-uswest2,mulesoft-regional,sam-processing1,Karpenter_Enabled,64.58329953324962
2025-06-30,dev,aws-dev2-uswest2,security,sam-mgmt-truth1,Karpenter_Enabled,64.68876217010867
2025-06-30,test,test1-uswest2,einstein2,sam-processing1,Karpenter_Enabled,64.85526700133708
2025-06-30,test,aws-test2-useast2,foundation,sam-processing1,Karpenter_Enabled,65.55197070336114
2025-06-30,dev,aws-dev4-uswest2,mulesoft-cp,sam-processing1,Karpenter_Enabled,67.10740473573586
2025-06-30,dev,dev1-uswest2,dnr,sam-processing1,Karpenter_Enabled,67.28022041978343
2025-06-30,stage,aws-stage1-useast2,foundation,sam-processing1,Karpenter_Enabled,67.6494307816413
2025-06-30,dev,fdev1-uswest2,security,sam-mgmt-truth1,Karpenter_Enabled,68.3588206414297
2025-06-30,dev,aws-dev4-uswest2,airesearch,sam-processing1,Karpenter_Enabled,68.71940334156028
2025-06-30,dev,aws-dev2-uswest2,industries,sam-processing1,Karpenter_Enabled,69.29328825750392
2025-06-30,dev,dev1-uswest2,security,sam-mgmt-truth1,Karpenter_Enabled,69.32781305443092
2025-06-30,test,test1-uswest2,ms-regional-migrate,sam-processing1,Karpenter_Enabled,70.55843398166888
2025-06-30,dev,fdev1-uswest2,foundation,sam-processing5,Karpenter_Enabled,70.9601442224495
2025-06-30,stage,aws-stage1-useast2,foundation,sam-logging-monitoring1,Karpenter_Enabled,71.64714495574216
2025-06-30,test,perf1-useast2,seas,sam-processing1,Karpenter_Enabled,71.78033659347022
2025-06-30,test,test1-uswest2,edge,sam-processing1,Karpenter_Enabled,72.4481914539499
2025-06-30,test,perf1-useast2,core1,sam-processing1,Karpenter_Enabled,72.7726889554663
2025-06-30,test,perf1-useast2,crypto,sam-mgmt-truth1,Karpenter_Enabled,73.15611303668167
2025-06-30,dev,aws-dev2-uswest2,messagingjourneys1,sam-processing2,Karpenter_Enabled,73.23973226471801
2025-06-30,test,perf2-uswest2,seas,sam-processing1,Karpenter_Enabled,73.86939209764581
2025-06-30,test,test1-uswest2,monitoring-regional,sam-log-mon1,Karpenter_Enabled,73.93270516562791
2025-06-30,dev,aws-dev2-uswest2,foundation,sam-control1,Karpenter_Enabled,74.33906204255408
2025-06-30,test,perf2-uswest2,foundation,sam-logging-monitoring1,Karpenter_Enabled,75.1026824009297
2025-06-30,dev,dev1-uswest2,cdp002,sam-processing1,Karpenter_Enabled,75.39568036095304
2025-06-30,dev,fdev1-uswest2,dnr,sam-processing1,Karpenter_Enabled,75.86898888594422
2025-06-30,test,test1-uswest2,einsteintest1,sam-processing1,Karpenter_Enabled,75.98194256801246
2025-06-30,dev,aws-dev4-uswest2,commerceecom,sam-processing1,Karpenter_Enabled,76.37716878826525
2025-06-30,dev,aws-dev5-apsouth1,sfw-dataplane,sam-processing1,Karpenter_Enabled,76.47489651417365
2025-06-30,dev,dev1-uswest2,cdp001,sam-processing1,Karpenter_Enabled,76.73665019801187
2025-06-30,dev,dev1-uswest2,monitoring-regional,sam-processing1,Karpenter_Enabled,76.79461042176918
2025-06-30,dev,aws-dev2-uswest2,cvw-dataplane-test,sam-processing1,Karpenter_Enabled,77.43245862074673
2025-06-30,test,test1-uswest2,cdp001,sam-processing1,Karpenter_Enabled,77.82590602662923
2025-06-30,dev,aws-dev4-uswest2,foundation,sam-control1,Karpenter_Enabled,77.91189268765773
2025-06-30,dev,dev1-uswest2,core002,sam-processing00001,Karpenter_Enabled,78.1816836414474
2025-06-30,dev,aws-dev4-uswest2,industries,sam-processing1,Karpenter_Enabled,78.22939638877685
2025-06-30,test,test1-uswest2,buildndeliver,sam-processing1,Karpenter_Enabled,78.28923386327236
2025-06-30,dev,aws-dev4-uswest2,foundation,sam-processing1,Karpenter_Enabled,78.9020444799527
2025-06-30,dev,dev1-uswest2,gid,sam-processing1,Karpenter_Enabled,79.08443563333132
2025-06-30,dev,aws-dev4-uswest2,einstein,sam-processing1,Karpenter_Enabled,79.10548587823702
2025-06-30,test,test1-uswest2,foundation,sam-logging-monitoring1,Karpenter_Enabled,80.6794489841467
2025-06-30,test,test1-uswest2,gid,sam-processing1,Karpenter_Enabled,80.78262708817917
2025-06-30,test,test1-uswest2,ecom1,sam-processing1,Karpenter_Enabled,80.98684824599958
2025-06-30,dev,fdev1-uswest2,foundation,sam-logging-monitoring1,Karpenter_Enabled,81.07333250633503
2025-06-30,dev,aws-dev2-uswest2,devx,sam-processing1,Karpenter_Enabled,81.50349289084036
2025-06-30,dev,aws-dev4-uswest2,fire48,sam-processing1,Karpenter_Enabled,81.55256295077787
2025-06-30,dev,dev1-uswest2,buildndeliver,sam-processing1,Karpenter_Enabled,81.81335662164017
2025-06-30,dev,dev1-uswest2,ast,sam-processing1,Karpenter_Enabled,81.81925011721928
2025-06-30,test,test1-uswest2,cdp002,sam-processing1,Karpenter_Enabled,82.21952926998954
2025-06-30,dev,dev1-uswest2,unified-engagement,sam-processing1,Karpenter_Enabled,82.30066123570984
2025-06-30,dev,dev1-uswest2,crypto,sam-mgmt-truth1,Karpenter_Enabled,82.3423255306743
2025-06-30,test,test1-uswest2,unified-engagement,sam-processing1,Karpenter_Enabled,82.5149774523409
2025-06-30,test,perf1-useast2,foundation,sam-logging-monitoring1,Karpenter_Enabled,82.65807628922668
2025-06-30,stage,aws-stage1-useast2,foundation,sam-control1,Karpenter_Enabled,82.7317738878266
2025-06-30,test,test1-uswest2,core3,sam-processing00001,Karpenter_Enabled,82.78904864289667
2025-06-30,dev,fdev1-uswest2,foundation,sam-processing1,Karpenter_Enabled,82.89254469775922
2025-06-30,test,perf2-uswest2,crypto,sam-mgmt-truth1,Karpenter_Enabled,83.28742339728312
2025-06-30,dev,dev1-uswest2,edge,sam-processing1,Karpenter_Enabled,83.67035419265802
2025-06-30,dev,dev1-uswest2,monitoring-regional,sam-log-mon1,Karpenter_Enabled,84.27479041151773
2025-06-30,dev,aws-dev2-uswest2,foundation,sam-logging-monitoring1,Karpenter_Enabled,84.27668947058211
2025-06-30,dev,dev1-uswest2,foundation,sam-logging-monitoring1,Karpenter_Enabled,84.29857061748832
2025-06-30,dev,aws-dev2-uswest2,messagingjourneys1,sam-processing1,Karpenter_Enabled,84.32060915018256
2025-06-30,test,test1-uswest2,crypto,sam-mgmt-truth1,Karpenter_Enabled,84.42347282438548
2025-06-30,test,test1-uswest2,mj201,sam-processing1,Karpenter_Enabled,84.52179733430934
2025-06-30,dev,aws-dev4-uswest2,foundation,sam-logging-monitoring1,Karpenter_Enabled,84.60280175390119
2025-06-30,test,test1-uswest2,ms-cp-migrate,sam-processing1,Karpenter_Enabled,85.40783968445325
2025-06-30,dev,aws-dev2-uswest2,apiq,sam-processing1,Karpenter_Enabled,85.48351024833606
2025-06-30,dev,dev1-uswest2,uip001,sam-processing1,Karpenter_Enabled,85.63087497621645
2025-06-30,dev,aws-dev2-uswest2,foundation,sam-processing1,Karpenter_Enabled,86.04931358583168
2025-06-30,stage,aws-stage1-useast2,core1,sam-processing1,Karpenter_Enabled,86.09117092783264
2025-06-30,dev,fdev1-uswest2,foundation,sam-control2,Karpenter_Enabled,86.41346853493538
2025-06-30,dev,aws-dev2-uswest2,ast,sam-processing1,Karpenter_Enabled,86.56720564210202
2025-06-30,dev,dev1-uswest2,mulesoft-cp,sam-processing1,Karpenter_Enabled,86.93554503490721
2025-06-30,dev,dev1-uswest2,einstein,sam-processing1,Karpenter_Enabled,87.12310958944589
2025-06-30,test,perf1-useast2,foundation,sam-processing1,Karpenter_Enabled,87.36202852432602
2025-06-30,test,test1-uswest2,monitoring-regional,sam-processing1,Karpenter_Enabled,87.48682422525701
2025-06-30,dev,dev1-uswest2,monitoring-regional,sam-log-mon3,Karpenter_Enabled,87.5375677665308
2025-06-30,test,test1-uswest2,monitoring,sam-processing1,Karpenter_Enabled,87.79413387012845
2025-06-30,test,perf2-uswest2,foundation,sam-processing1,Karpenter_Enabled,87.86063253627265
2025-06-30,dev,aws-dev4-uswest2,seas,sam-processing1,Karpenter_Enabled,88.31989576389698
2025-06-30,test,test1-uswest2,foundation,sam-processing1,Karpenter_Enabled,89.1117218121905
2025-06-30,test,test1-uswest2,mj201,sam-processing2,Karpenter_Enabled,89.51092093517296
2025-06-30,dev,aws-dev2-uswest2,apiq,sam-restricted1,Karpenter_Enabled,89.6022938961057
2025-06-30,esvc,aws-esvc1-useast2,uip-s,sam-processing1,Karpenter_Enabled,89.61104691915487
2025-06-30,test,test1-uswest2,mulesoft-cp2,sam-processing1,Karpenter_Enabled,89.90425322068823
2025-06-30,dev,fdev1-uswest2,foundation,sam-control1,Karpenter_Enabled,89.94436779729288
2025-06-30,dev,dev1-uswest2,foundation,sam-control1,Karpenter_Enabled,90.02541030772463
2025-06-30,esvc,aws-esvc1-useast2,uip,sam-processing1,Karpenter_Enabled,90.45435243276555
2025-06-30,test,test1-uswest2,ast,sam-processing1,Karpenter_Enabled,90.72014080759017
2025-06-30,dev,dev1-uswest2,foundation,sam-processing1,Karpenter_Enabled,91.78095329934351
