report_date,environment_type,falcon_instance,functional_domain,k8s_cluster,karpenter_status,cluster_packing_percent
2025-05-31,test,aws-test2-useast2,foundation,sam-logging-monitoring1,Karpenter_Enabled,61.30782251102982
2025-05-31,dev,dev1-uswest2,seas,sam-processing1,Karpenter_Enabled,62.00507367384389
2025-05-31,test,test1-uswest2,core4,sam-processing2,Karpenter_Enabled,62.01390643917748
2025-05-31,test,test1-uswest2,seas1,sam-processing1,Karpenter_Enabled,62.82683757339519
2025-05-31,dev,dev1-uswest2,core002,sam-processing-sc1,Karpenter_Enabled,64.19697416170814
2025-05-31,dev,aws-dev4-uswest2,scratchpad5,sam-processing4,Karpenter_Enabled,64.20225365983624
2025-05-31,dev,aws-dev2-uswest2,foundation,sam-control1,Karpenter_Enabled,64.75557666596309
2025-05-31,test,test1-uswest2,crypto,sam-mgmt-truth1,Karpenter_Enabled,64.9763129614667
2025-05-31,dev,dev1-uswest2,dbaas,sam-processing1,Karpenter_Enabled,65.1758394912873
2025-05-31,dev,aws-dev4-uswest2,crypto,sam-mgmt-truth1,Karpenter_Enabled,65.29968748178233
2025-05-31,test,test1-uswest2,einstein2,sam-processing1,Karpenter_Enabled,65.44319533831103
2025-05-31,dev,dev1-uswest2,uip001,sam-processing1,Karpenter_Enabled,65.83560729752602
2025-05-31,dev,aws-dev2-uswest2,crypto,sam-mgmt-truth1,Karpenter_Enabled,66.32896183088903
2025-05-31,dev,aws-dev4-uswest2,foundation,sam-control1,Karpenter_Enabled,66.56884108779822
2025-05-31,dev,fdev1-uswest2,monitoring,sam-logging-monitoring1,Karpenter_Enabled,66.60247551360268
2025-05-31,dev,fdev1-uswest2,monitoring,sam-logging-monitoring2,Karpenter_Enabled,67.20832443263379
2025-05-31,test,perf1-useast2,crypto,sam-mgmt-truth1,Karpenter_Enabled,67.36873889822365
2025-05-31,test,perf1-useast2,core1,sam-processing1,Karpenter_Enabled,67.6758680188428
2025-05-31,dev,aws-dev2-uswest2,cdp1,sam-processing1,Karpenter_Enabled,67.90498605427858
2025-05-31,test,test1-uswest2,monitoring,sam-logging-monitoring1,Karpenter_Enabled,68.00496613013999
2025-05-31,dev,dev1-uswest2,netsec,sam-processing1,Karpenter_Enabled,68.30285535896985
2025-05-31,test,perf2-uswest2,seas,sam-processing1,Karpenter_Enabled,68.86183112064664
2025-05-31,dev,aws-dev5-apsouth1,foundation,sam-log-mon1,Karpenter_Enabled,69.5444603615915
2025-05-31,test,perf2-uswest2,crypto,sam-mgmt-truth1,Karpenter_Enabled,69.76138106384143
2025-05-31,dev,aws-dev2-uswest2,dp-services,sam-processing2,Karpenter_Enabled,70.2425234647759
2025-05-31,test,perf1-useast2,foundation,sam-control1,Karpenter_Enabled,70.43365764935665
2025-05-31,test,test1-uswest2,monitoring-regional,sam-log-mon1,Karpenter_Enabled,70.77998645783612
2025-05-31,dev,fdev1-uswest2,monitoring,sam-processing1,Karpenter_Enabled,71.39744468931062
2025-05-31,dev,dev1-uswest2,monitoring,sam-processing1,Karpenter_Enabled,71.83986475084797
2025-05-31,test,test1-uswest2,ms-regional-migrate,sam-processing1,Karpenter_Enabled,71.8817919714978
2025-05-31,dev,fdev1-uswest2,foundation,sam-logging-monitoring1,Karpenter_Enabled,72.04031398164173
2025-05-31,dev,dev1-uswest2,cdp001,sam-processing1,Karpenter_Enabled,72.08826636202865
2025-05-31,dev,aws-dev4-uswest2,commerceecom,sam-processing1,Karpenter_Enabled,72.34509641914588
2025-05-31,dev,dev1-uswest2,monitoring-regional,sam-log-mon2,Karpenter_Enabled,72.80066411459546
2025-05-31,test,perf1-useast2,seas,sam-processing1,Karpenter_Enabled,73.11920134899762
2025-05-31,stage,aws-stage1-useast2,foundation,sam-control1,Karpenter_Enabled,73.53310288576522
2025-05-31,test,aws-test2-useast2,foundation,sam-control1,Karpenter_Enabled,73.99995330217331
2025-05-31,dev,dev1-uswest2,mulesoft-cp,sam-processing1,Karpenter_Enabled,74.0645856780364
2025-05-31,dev,aws-dev5-apsouth1,foundation,sam-processing1,Karpenter_Enabled,74.32306343833194
2025-05-31,test,aws-test2-useast2,foundation,sam-processing1,Karpenter_Enabled,74.44068167696935
2025-05-31,dev,aws-dev2-uswest2,messagingjourneys1,sam-processing2,Karpenter_Enabled,75.20770143494245
2025-05-31,dev,dev1-uswest2,edge,sam-processing1,Karpenter_Enabled,75.36711225185033
2025-05-31,test,test1-uswest2,core3,sam-processing00001,Karpenter_Enabled,75.47170590995474
2025-05-31,dev,fdev1-uswest2,crypto,sam-mgmt-truth1,Karpenter_Enabled,75.57841011320218
2025-05-31,test,perf2-uswest2,foundation,sam-logging-monitoring1,Karpenter_Enabled,75.66947582721846
2025-05-31,dev,aws-dev2-uswest2,mulesoft-cp,sam-processing1,Karpenter_Enabled,76.006792914592
2025-05-31,dev,aws-dev2-uswest2,apiq,sam-restricted1,Karpenter_Enabled,76.00982028494084
2025-05-31,test,test1-uswest2,buildndeliver,sam-processing1,Karpenter_Enabled,76.75048268218853
2025-05-31,dev,fdev1-uswest2,foundation,sam-processing5,Karpenter_Enabled,76.92361383212247
2025-05-31,dev,aws-dev2-uswest2,apiq,sam-processing1,Karpenter_Enabled,77.18205672522578
2025-05-31,dev,aws-dev4-uswest2,einstein,sam-processing1,Karpenter_Enabled,77.26167814366727
2025-05-31,dev,fdev1-uswest2,foundation,sam-processing1,Karpenter_Enabled,77.54420718477755
2025-05-31,test,test1-uswest2,einsteintest1,sam-processing1,Karpenter_Enabled,78.29612787405343
2025-05-31,dev,dev1-uswest2,monitoring-regional,sam-log-mon1,Karpenter_Enabled,79.26240415123881
2025-05-31,dev,aws-dev2-uswest2,foundation,sam-processing1,Karpenter_Enabled,79.55842910183365
2025-05-31,test,perf2-uswest2,foundation,sam-processing1,Karpenter_Enabled,79.95666803063305
2025-05-31,test,test1-uswest2,apiq,sam-processing1,Karpenter_Enabled,80.73549183721896
2025-05-31,test,test1-uswest2,netsec,sam-processing1,Karpenter_Enabled,80.81428880300146
2025-05-31,test,test1-uswest2,ms-cp-migrate,sam-processing1,Karpenter_Enabled,81.14294732367927
2025-05-31,dev,dev1-uswest2,unified-engagement,sam-processing1,Karpenter_Enabled,81.36365405305114
2025-05-31,test,perf1-useast2,foundation,sam-logging-monitoring1,Karpenter_Enabled,82.26493204722468
2025-05-31,dev,aws-dev2-uswest2,cvw-dataplane-test,sam-processing1,Karpenter_Enabled,82.33518524766986
2025-05-31,dev,dev1-uswest2,monitoring-regional,sam-processing1,Karpenter_Enabled,82.35819486237666
2025-05-31,test,perf1-useast2,core1,sam-processing-sc1,Karpenter_Enabled,82.37463488236017
2025-05-31,test,test1-uswest2,mj201,sam-processing1,Karpenter_Enabled,82.63360062407581
2025-05-31,test,test1-uswest2,ecom1,sam-processing1,Karpenter_Enabled,82.70445532277799
2025-05-31,dev,dev1-uswest2,buildndeliver,sam-processing1,Karpenter_Enabled,82.8814353664855
2025-05-31,dev,dev1-uswest2,foundation,sam-logging-monitoring1,Karpenter_Enabled,82.98765778670494
2025-05-31,dev,aws-dev4-uswest2,foundation,sam-processing1,Karpenter_Enabled,83.00599410731539
2025-05-31,test,test1-uswest2,mulesoft-cp2,sam-processing1,Karpenter_Enabled,83.52384669406737
2025-05-31,dev,aws-dev4-uswest2,tableau,sam-processing2,Karpenter_Enabled,83.94088522146448
2025-05-31,test,test1-uswest2,cdp001,sam-processing1,Karpenter_Enabled,84.01094566877472
2025-05-31,dev,dev1-uswest2,crypto,sam-mgmt-truth1,Karpenter_Enabled,84.09912412003739
2025-05-31,test,perf2-uswest2,foundation,sam-control1,Karpenter_Enabled,84.16192849821536
2025-05-31,test,test1-uswest2,monitoring-regional,sam-processing1,Karpenter_Enabled,84.44831097483961
2025-05-31,test,test1-uswest2,foundation,sam-logging-monitoring1,Karpenter_Enabled,84.74764159926346
2025-05-31,test,test1-uswest2,edge,sam-processing1,Karpenter_Enabled,85.14556049230602
2025-05-31,test,test1-uswest2,cdp002,sam-processing1,Karpenter_Enabled,85.290017292005
2025-05-31,dev,aws-dev4-uswest2,scratchpad5,sam-processing1,Karpenter_Enabled,85.39631352422089
2025-05-31,dev,aws-dev4-uswest2,foundation,sam-logging-monitoring1,Karpenter_Enabled,85.54053137426978
2025-05-31,dev,aws-dev4-uswest2,mulesoft-cp,sam-processing1,Karpenter_Enabled,86.05823239596863
2025-05-31,dev,aws-dev4-uswest2,scratchpad5,sam-processing3,Karpenter_Enabled,86.13861373011383
2025-05-31,dev,dev1-uswest2,einstein,sam-processing1,Karpenter_Enabled,86.35266100100665
2025-05-31,dev,aws-dev2-uswest2,messagingjourneys1,sam-processing1,Karpenter_Enabled,86.51365226332952
2025-05-31,test,perf1-useast2,foundation,sam-processing1,Karpenter_Enabled,86.94663707050825
2025-05-31,test,test1-uswest2,core4,sam-processing3,Karpenter_Enabled,87.14696568177219
2025-05-31,dev,dev1-uswest2,monitoring-regional,sam-log-mon3,Karpenter_Enabled,87.43500247412886
2025-05-31,dev,aws-dev4-uswest2,scratchpad1,sam-processing2,Karpenter_Enabled,87.51937593422615
2025-05-31,dev,dev1-uswest2,foundation,sam-processing1,Karpenter_Enabled,87.71839179928375
2025-05-31,dev,aws-dev2-uswest2,industries,sam-processing1,Karpenter_Enabled,87.92405733072017
2025-05-31,dev,aws-dev5-apsouth1,foundation,sam-control1,Karpenter_Enabled,88.18017635293666
2025-05-31,dev,aws-dev4-uswest2,scratchpad1,sam-processing3,Karpenter_Enabled,88.41829295450368
2025-05-31,dev,aws-dev4-uswest2,seas,sam-processing1,Karpenter_Enabled,88.6682898609676
2025-05-31,dev,aws-dev4-uswest2,industries,sam-processing1,Karpenter_Enabled,88.76334590943299
2025-05-31,dev,dev1-uswest2,ast,sam-processing1,Karpenter_Enabled,89.02728040201423
2025-05-31,dev,aws-dev2-uswest2,ast,sam-processing1,Karpenter_Enabled,89.25676440834755
2025-05-31,dev,aws-dev5-apsouth1,sfw-dataplane,sam-processing1,Karpenter_Enabled,89.70363427739227
2025-05-31,test,test1-uswest2,unified-engagement,sam-processing1,Karpenter_Enabled,89.78264563634625
2025-05-31,test,test1-uswest2,bigdata,sam-processing1,Karpenter_Enabled,90.02900676266002
2025-05-31,test,test1-uswest2,foundation,sam-processing1,Karpenter_Enabled,90.3270013269428
2025-05-31,dev,dev1-uswest2,gid,sam-processing1,Karpenter_Enabled,90.70295367131253
2025-05-31,test,test1-uswest2,gid,sam-processing1,Karpenter_Enabled,91.35291390621754
2025-05-31,dev,aws-dev4-uswest2,scratchpad5,sam-processing2,Karpenter_Enabled,91.54002480975325
2025-05-31,test,test1-uswest2,monitoring,sam-processing1,Karpenter_Enabled,91.75799631127543
2025-05-31,dev,dev1-uswest2,monitoring,sam-logging-monitoring2,Karpenter_Enabled,92.67702988316312
2025-05-31,test,test1-uswest2,mj201,sam-processing2,Karpenter_Enabled,92.93705761857345
2025-05-31,test,test1-uswest2,industries,sam-processing1,Karpenter_Enabled,93.48059892903417
2025-05-31,test,test1-uswest2,foundation,sam-control1,Karpenter_Enabled,93.5012393379811
2025-05-31,esvc,aws-esvc1-useast2,uip,sam-processing1,Karpenter_Enabled,93.89995588652607
2025-05-31,test,test1-uswest2,ast,sam-processing1,Karpenter_Enabled,94.9423345195391
2025-05-31,dev,fdev1-uswest2,foundation,sam-control2,Karpenter_Enabled,95.05415584153907
2025-05-31,esvc,aws-esvc1-useast2,uip-s,sam-processing1,Karpenter_Enabled,105.20483726705065
2025-05-31,dev,dev1-uswest2,sfcdmodel,sam-processing1,Karpenter_Enabled,107.55041767343201
2025-05-31,dev,dev1-uswest2,foundation,sam-control1,Karpenter_Enabled,158.8419698413084
2025-05-31,test,test1-uswest2,core4,sam-processing1,Karpenter_Enabled,162.70270308829583
2025-05-31,dev,aws-dev2-uswest2,devx,sam-processing1,Karpenter_Enabled,419.12358061526885
2025-05-30,dev,dev1-uswest2,core002,sam-processing00002,Karpenter_Enabled,3.9311335045056683
2025-05-30,stage,aws-stage1-useast2,core1,sam-processing-sc1,Karpenter_Enabled,6.446793190885917
2025-05-30,test,perf1-useast2,core1,sam-processing2,Karpenter_Enabled,6.63982289880129
2025-05-30,test,perf1-useast2,core1,sam-processing3,Karpenter_Enabled,12.705418641918092
2025-05-30,dev,dev1-uswest2,core002,sam-highscale-processing1,Karpenter_Enabled,27.335340699683357
2025-05-30,stage,aws-stage1-useast2,core1,sam-processing2,Karpenter_Enabled,32.0005435143374
2025-05-30,dev,aws-dev2-uswest2,security,sam-mgmt-truth1,Karpenter_Enabled,42.09659671114874
2025-05-30,test,test1-uswest2,fieldservice,sam-processing1,Karpenter_Enabled,45.03509816584697
2025-05-30,dev,aws-dev4-uswest2,fieldservice,sam-processing1,Karpenter_Enabled,45.36038837295108
2025-05-30,dev,aws-dev2-uswest2,seas,sam-processing1,Karpenter_Enabled,46.37058286576224
2025-05-30,test,aws-test2-useast2,crypto,sam-mgmt-truth1,Karpenter_Enabled,46.86105316097308
2025-05-30,test,perf1-useast2,security,sam-mgmt-truth1,Karpenter_Enabled,46.9445608418924
2025-05-30,dev,aws-dev4-uswest2,mobilebuild1,sam-processing1,Karpenter_Enabled,47.12015324154193
2025-05-30,dev,fdev1-uswest2,foundation,sam-control1,Karpenter_Enabled,47.58166845294951
2025-05-30,test,perf2-uswest2,security,sam-mgmt-truth1,Karpenter_Enabled,47.776084531173055
2025-05-30,dev,aws-dev5-apsouth1,security,sam-mgmt-truth1,Karpenter_Enabled,48.6587919890416
2025-05-30,dev,aws-dev2-uswest2,mulesoft-regional,sam-processing1,Karpenter_Enabled,48.889024827371735
2025-05-30,dev,fdev1-uswest2,foundation,sam-control3,Karpenter_Enabled,49.679404560783226
2025-05-30,dev,fdev1-uswest2,dnr,sam-processing1,Karpenter_Enabled,50.0308289353336
2025-05-30,stage,aws-stage1-useast2,foundation,sam-logging-monitoring1,Karpenter_Enabled,50.39446372659603
2025-05-30,dev,aws-dev4-uswest2,security,sam-mgmt-truth1,Karpenter_Enabled,50.51806920370372
2025-05-30,dev,dev1-uswest2,crypto,sam-mgmt-truth2,Karpenter_Enabled,50.61755783698564
2025-05-30,dev,aws-dev4-uswest2,foundation,sam-control2,Karpenter_Enabled,50.87979938188864
2025-05-30,dev,aws-dev4-uswest2,scratchpad1,sam-ma-test1,Karpenter_Enabled,51.81940240469404
2025-05-30,dev,dev1-uswest2,mulesoft-regional,sam-processing1,Karpenter_Enabled,51.89683195230457
2025-05-30,dev,aws-dev2-uswest2,foundation,sam-logging-monitoring1,Karpenter_Enabled,52.681010767155875
2025-05-30,test,test1-uswest2,core4,sam-processing-sc1,Karpenter_Enabled,52.84813915554574
