month,month_name,avg_cpu,avg_pod_count,node_count,cluster_count
2025-04,April,73.43,57.98,88705,12
2025-05,May,72.36,52.54,110754,13
2025-06,June,73.43,57.98,88705,12
2025-07,July,72.75,55.55,123778,17
2025-08,August,73.82,55.78,118216,18
2025-09,September,73.55,50.97,108280,18
2025-10,October,74.2,53.12,97908,19
