report_date,environment_type,falcon_instance,functional_domain,k8s_cluster,karpenter_status,cpu_packing_percent
2025-06-30,prod,aws-prod5-uswest2,monitoring-regional,sam-log-mon6,Karpenter_Disabled,26.439449103909602
2025-06-30,esvc,aws-esvc2-uswest2,monitoring-regional,sam-log-mon1,Karpenter_Disabled,26.5059801911027
2025-06-30,prod,aws-prod3-eucentral1,monitoring-regional,sam-log-mon5,Karpenter_Disabled,26.5294380578793
2025-06-30,esvc,aws-esvc1-useast2,monitoring,sam-logging-monitoring5,Karpenter_Disabled,26.5799422095177
2025-06-30,prod,aws-prod9-apnortheast1,monitoring-regional,sam-log-mon6,Karpenter_Disabled,26.6083357748239
2025-06-30,stage,aws-stage1-useast2,einstein,sam-processing1,Karpenter_Disabled,26.6128584741679
2025-06-30,esvc,aws-esvc2-uswest2,monitoring,sam-logging-monitoring3,Karpenter_Disabled,26.628780396167002
2025-06-30,dev,dev1-uswest2,core002,sam-highscale-processing1,Karpenter_Enabled,26.679409568066802
2025-06-30,esvc,aws-esvc1-useast2,controltelemetry,sam-processing2,Karpenter_Disabled,26.7390693873125
2025-06-30,prod,aws-prod0-uswest2,monitoring-regional,sam-log-mon1,Karpenter_Disabled,27.2252894365816
2025-06-30,test,test1-uswest2,core4,sam-bigdata3,Karpenter_Disabled,27.3910595577262
2025-06-30,prod,aws-prod4-apsoutheast2,diffeo,sam-processing1,Karpenter_Disabled,27.4531916853588
2025-06-30,test,perf2-uswest2,cdp1,sam-restricted1,Karpenter_Disabled,28.5866955636481
2025-06-30,prod,aws-prod5-uswest2,einstein2,sam-restricted1,Karpenter_Disabled,28.9703244997463
2025-06-30,prod,aws-prod21-useast2,einstein2,sam-restricted1,Karpenter_Disabled,29.576287991190902
2025-06-30,dev,dev1-uswest2,core002,sam-restricted12,Karpenter_Disabled,30.2380020865936
2025-06-30,prod,aws-prod5-uswest2,tableau,sam-processing8,Karpenter_Disabled,30.4089734601791
2025-06-30,prod,aws-prod1-useast1,dp-services,sam-processing1,Karpenter_Disabled,30.6410754678767
2025-06-30,prod,aws-prod12-euwest3,core1,sam-restricted4,Karpenter_Disabled,30.717503087855302
2025-06-30,prod,aws-prod17-apsoutheast3,bigdata,sam-processing1,Karpenter_Disabled,31.1725706916013
2025-06-30,prod,aws-prod3-eucentral1,core1,sam-restricted7,Karpenter_Disabled,31.5328951580059
2025-06-30,prod,aws-prod2-apsouth1,core1,sam-restricted9,Karpenter_Disabled,31.7289601959327
2025-06-30,prod,aws-prod22-apnortheast3,core1,sam-restricted2,Karpenter_Disabled,32.5297114422143
2025-06-30,prod,aws-prod2-apsouth1,core1,sam-restricted7,Karpenter_Disabled,32.5590895082865
