service,total_incidents,ttd_met,ttd_missed,ttr_met,ttr_missed,sla_pct
FKP,17,17,0,17,0,100
Mesh,18,17,1,17,1,94
Ingress,11,11,0,11,0,100
MQ,31,27,4,28,3,89
Maps,19,7,12,5,14,32
Vega Cache,6,6,0,6,0,100
