month,month_abbr,sev0_count,sev1_count
2025-01,Jan,0,8
2025-02,Feb,2,7
2025-03,Mar,0,8
2025-04,Apr,3,10
2025-05,May,2,5
2025-06,Jun,2,3
2025-07,Jul,0,8
2025-08,Aug,1,11
2025-09,Sep,0,10
2025-10,Oct,0,10
2025-11,Nov,0,6
2025-12,Dec,0,6
