FI,FD,Cluster,Instance_Type,Max,Mean
aws-prod8-cacentral1,foundation,sam-control1,m5.4xlarge,7,7
aws-prod8-cacentral1,security,sam-mgmt-truth1,m5.12xlarge,7,7
aws-prod9-apnortheast1,security,sam-mgmt-truth1,m5.12xlarge,7,7
aws-stage1-useast2,monitoring-regional,sam-log-mon3,m5.12xlarge,7,7
perf1-useast2,core1,sam-restricted1,m5.8xlarge,7,6
test1-uswest2,core3,sam-highscale-restricted1,m5.8xlarge,7,6
test1-uswest2,core3,sam-restricted2,m5.8xlarge,7,6
test1-uswest2,core3,sam-restricted4,m5.8xlarge,7,6
aws-dev2-uswest2,apiq,sam-processing2,m5.8xlarge,6,6
aws-dev2-uswest2,controltelemetry,sam-processing1,m5a.8xlarge,6,6
aws-dev2-uswest2,controltelemetry,sam-processing2,m5.8xlarge,6,6
aws-dev4-uswest2,commercecom,sam-restricted1,m5.8xlarge,6,6
aws-esvc1-useast2,controltelemetry-s,sam-processing1,m5a.12xlarge,6,6
aws-esvc1-useast2,controltelemetry,sam-processing2,m5.12xlarge,6,6
aws-esvc1-useast2,devx-preprod,sam-processing1,m5.12xlarge,6,6
aws-esvc1-useast2,devx-prod,sam-processing1,m5.12xlarge,6,6
aws-esvc1-useast2,devx-prod,sam-processing2,m5.12xlarge,6,6
aws-esvc1-useast2,devx-stage,sam-processing1,m5.12xlarge,6,6
aws-esvc1-useast2,dp-public,sam-processing1,m5.12xlarge,6,6
aws-esvc1-useast2,ethtelemetry-preprod,sam-processing1,m5.12xlarge,6,6
aws-esvc1-useast2,foundation,sam-logging-monitoring1,m5.12xlarge,6,6
aws-esvc1-useast2,monitoring-s,sam-logging-monitoring1,r5.24xlarge,6,6
aws-esvc1-useast2,monitoring-s,sam-logging-monitoring2,m5.12xlarge,6,6
aws-esvc1-useast2,monitoring-s,sam-logging-monitoring3,m5.12xlarge,6,6
aws-esvc1-useast2,monitoring,sam-logging-monitoring10,m5.12xlarge,6,6
aws-esvc1-useast2,monitoring,sam-logging-monitoring11,m5.12xlarge,6,6
aws-esvc1-useast2,monitoring,sam-logging-monitoring12,m5.12xlarge,6,6
aws-esvc1-useast2,monitoring,sam-logging-monitoring4,m5.12xlarge,6,6
aws-esvc1-useast2,monitoring,sam-logging-monitoring5,m5.12xlarge,6,6
aws-esvc1-useast2,monitoring,sam-logging-monitoring6,m5.12xlarge,6,6
aws-esvc1-useast2,monitoring,sam-logging-monitoring7,m5.12xlarge,6,6
aws-esvc1-useast2,monitoring,sam-logging-monitoring8,m5.12xlarge,6,6
aws-esvc1-useast2,monitoring,sam-logging-monitoring9,m5.12xlarge,6,6
aws-esvc1-useast2,monitoring,sam-processing2,m5.12xlarge,6,6
aws-esvc1-useast2,security-preprod,sam-mgmt-truth1,m5.12xlarge,6,6
aws-esvc1-useast2,unix,sam-processing1,m5.12xlarge,6,6
aws-esvc2-uswest2,buildndeliver,sam-processing1,m5.12xlarge,6,6
aws-esvc2-uswest2,controltelemetry,sam-processing1,m5.12xlarge,6,6
aws-esvc2-uswest2,devx-preprod,sam-processing1,m5.12xlarge,6,6
aws-esvc2-uswest2,devx-preprod,sam-processing2,m5.12xlarge,6,6
aws-esvc2-uswest2,devx-prod,sam-processing1,m5.12xlarge,6,6
aws-esvc2-uswest2,devx-s,sam-processing1,m5.12xlarge,6,6
aws-esvc2-uswest2,foundation,sam-control1,m5.4xlarge,6,6
aws-esvc2-uswest2,foundation,sam-logging-monitoring1,m5.12xlarge,6,6
aws-esvc2-uswest2,monitoring-regional,sam-log-mon2,m5.12xlarge,6,6
aws-esvc2-uswest2,monitoring-regional,sam-log-mon3,m5.12xlarge,6,6
aws-esvc2-uswest2,monitoring-regional,sam-log-mon4,m5.12xlarge,6,6
aws-esvc2-uswest2,monitoring-regional,sam-log-mon5,m5.12xlarge,6,6
aws-esvc2-uswest2,monitoring-regional,sam-log-mon6,m5.12xlarge,6,6
aws-esvc2-uswest2,monitoring,sam-logging-monitoring1,m5.12xlarge,6,6
aws-esvc2-uswest2,monitoring,sam-logging-monitoring10,m5.12xlarge,6,6
aws-esvc2-uswest2,monitoring,sam-logging-monitoring2,m5.12xlarge,6,6
aws-esvc2-uswest2,monitoring,sam-logging-monitoring3,m5.12xlarge,6,6
aws-esvc2-uswest2,monitoring,sam-logging-monitoring4,m5.12xlarge,6,6
aws-esvc2-uswest2,monitoring,sam-logging-monitoring5,m5.12xlarge,6,6
aws-esvc2-uswest2,monitoring,sam-logging-monitoring6,m5.12xlarge,6,6
aws-esvc2-uswest2,monitoring,sam-logging-monitoring7,m5.12xlarge,6,6
aws-esvc2-uswest2,monitoring,sam-logging-monitoring8,m5.12xlarge,6,6
aws-esvc2-uswest2,monitoring,sam-logging-monitoring9,m5.12xlarge,6,6
aws-esvc2-uswest2,security-preprod,sam-mgmt-truth1,m5.12xlarge,6,6
aws-esvc3-uswest2,buildndeliver-s,sam-processing1,m5.12xlarge,6,6
aws-esvc3-uswest2,foundation,sam-control1,m5.4xlarge,6,6
aws-esvc3-uswest2,foundation,sam-logging-monitoring1,m5.12xlarge,6,6
aws-prod10-apsoutheast1,bigdata,sam-processing1,m5.12xlarge,6,6
aws-prod10-apsoutheast1,core1,sam-restricted1,m5.8xlarge,6,6
aws-prod10-apsoutheast1,core1,sam-restricted2,m5.8xlarge,6,6
aws-prod10-apsoutheast1,core1,sam-restricted3,m5.8xlarge,6,6
aws-prod10-apsoutheast1,core1,sam-restricted4,m5.8xlarge,6,6
aws-prod10-apsoutheast1,core1,sam-restricted5,m5.8xlarge,6,6
aws-prod10-apsoutheast1,core1,sam-restricted6,m5.8xlarge,6,6
aws-prod10-apsoutheast1,core1,sam-restricted7,m5.8xlarge,6,6
aws-prod10-apsoutheast1,foundation,sam-control1,m5.4xlarge,6,6
aws-prod10-apsoutheast1,mulesoft-regional,sam-processing1,m5.8xlarge,6,6
aws-prod12-uswest3,bigdata,sam-processing1,m5.12xlarge,6,6
aws-prod12-uswest3,core1,sam-restricted1,m5.8xlarge,6,6
aws-prod12-uswest3,core1,sam-restricted2,m5.8xlarge,6,6
aws-prod12-uswest3,core1,sam-restricted3,m5.8xlarge,6,6
aws-prod12-uswest3,core1,sam-restricted4,m5.8xlarge,6,6
aws-prod12-uswest3,core1,sam-restricted5,m5.8xlarge,6,6
aws-prod12-uswest3,foundation,sam-logging-monitoring1,m5.12xlarge,6,6
aws-prod13-euwest2,bigdata,sam-processing1,m5.12xlarge,6,6
aws-prod13-euwest2,core1,sam-restricted1,m5.8xlarge,6,6
aws-prod13-euwest2,core1,sam-restricted2,m5.8xlarge,6,6
aws-prod13-euwest2,core1,sam-restricted3,m5.8xlarge,6,6
aws-prod13-euwest2,core1,sam-restricted4,m5.8xlarge,6,6
aws-prod13-euwest2,core1,sam-restricted5,m5.8xlarge,6,6
aws-prod13-euwest2,core1,sam-restricted6,m5.8xlarge,6,6
aws-prod13-euwest2,core1,sam-restricted7,m5.8xlarge,6,6
aws-prod13-euwest2,foundation,sam-logging-monitoring1,m5.12xlarge,6,6
aws-prod13-euwest2,gld,sam-processing1,m5.12xlarge,6,6
aws-prod13-euwest2,mulesoft-regional,sam-processing1,m5.12xlarge,6,6
aws-prod13-euwest2,mulesoft-regional,sam-processing1,m5.12xlarge,6,6
aws-prod14-apnortheast2,bigdata,sam-processing1,m5.12xlarge,6,6
aws-prod14-apnortheast2,core1,sam-restricted1,m5.8xlarge,6,6
aws-prod14-apnortheast2,core1,sam-restricted2,m5.8xlarge,6,6
aws-prod14-apnortheast2,edge,sam-processing1,m5.12xlarge,6,6
aws-prod15-eucentral2,bigdata,sam-processing1,m5.12xlarge,6,6
aws-prod15-eucentral2,core1,sam-restricted1,m5.8xlarge,6,6
aws-prod15-eucentral2,core1,sam-restricted2,m5.8xlarge,6,6
aws-prod15-eucentral2,foundation,sam-logging-monitoring1,r5.12xlarge,6,6
aws-prod15-eucentral2,gld,sam-processing1,m5.12xlarge,6,6
aws-prod16-sunorth1,bigdata,sam-processing1,m5.12xlarge,6,6
aws-prod16-sunorth1,core1,sam-restricted1,m5.8xlarge,6,6
aws-prod16-sunorth1,core1,sam-restricted2,m5.8xlarge,6,6
aws-prod16-sunorth1,core1,sam-restricted3,m5.8xlarge,6,6
aws-prod16-sunorth1,core1,sam-restricted4,m5.8xlarge,6,6
aws-prod16-sunorth1,core1,sam-restricted5,m5.8xlarge,6,6
aws-prod16-sunorth1,core1,sam-restricted6,m5.8xlarge,6,6
aws-prod16-sunorth1,core1,sam-restricted7,m5.8xlarge,6,6
aws-prod16-sunorth1,core1,sam-restricted8,m5.8xlarge,6,6
aws-prod16-sunorth1,ecom1,sam-processing1,m5.12xlarge,6,6
aws-prod16-sunorth1,ecom1,sam-restricted1,m5.8xlarge,6,6
aws-prod16-sunorth1,edge,sam-processing1,m5.12xlarge,6,6
aws-prod16-sunorth1,foundation,sam-logging-monitoring1,m5.12xlarge,6,6
aws-prod16-sunorth1,security,sam-mgmt-truth1,m5.12xlarge,6,6
aws-prod17-apsoutheast3,bigdata,sam-processing1,m5.12xlarge,6,6
aws-prod17-apsoutheast3,core1,sam-restricted1,m5.8xlarge,6,6
aws-prod17-apsoutheast3,core1,sam-restricted2,m5.8xlarge,6,6
aws-prod17-apsoutheast3,edge,sam-processing1,m5.12xlarge,6,6
aws-prod17-apsoutheast3,foundation,sam-log-mon1,m5.12xlarge,6,6
aws-prod18-mecentral1,bigdata,sam-processing1,m5.12xlarge,6,6
aws-prod18-mecentral1,core1,sam-restricted1,m5.8xlarge,6,6
aws-prod18-mecentral1,core1,sam-restricted2,m5.8xlarge,6,6
aws-prod18-mecentral1,edge,sam-processing1,m5.12xlarge,6,6
aws-prod18-mecentral1,foundation,sam-logging-monitoring1,m5.12xlarge,6,6
aws-prod18-mecentral1,gld,sam-processing1,m5.12xlarge,6,6
aws-prod18-mecentral1,gld,sam-restricted1,m5.8xlarge,6,6
aws-prod18-mecentral1,security,sam-mgmt-truth1,m5.12xlarge,6,6
aws-prod20-llcentral1,bigdata,sam-processing1,m5.12xlarge,6,6
aws-prod20-llcentral1,core1,sam-restricted1,m5.8xlarge,6,6
aws-prod20-llcentral1,core1,sam-restricted2,m5.8xlarge,6,6
aws-prod20-llcentral1,edge,sam-processing1,m5.12xlarge,6,6
aws-prod20-llcentral1,foundation,sam-control1,m5.4xlarge,6,6
aws-prod20-llcentral1,foundation,sam-logging-monitoring1,m5.12xlarge,6,6
aws-prod21-useast2,core1,sam-highscale-restricted1,m5.8xlarge,6,6
aws-prod21-useast2,core1,sam-restricted1,m5.8xlarge,6,6
aws-prod21-useast2,core1,sam-restricted10,m5.8xlarge,6,6
aws-prod21-useast2,core1,sam-restricted11,m5.8xlarge,6,6
aws-prod21-useast2,core1,sam-restricted12,m5.8xlarge,6,6
aws-prod21-useast2,core1,sam-restricted13,m5.8xlarge,6,6
aws-prod21-useast2,core1,sam-restricted14,m5.8xlarge,6,6
aws-prod21-useast2,core1,sam-restricted15,m5.8xlarge,6,6
aws-prod21-useast2,core1,sam-restricted2,m5.8xlarge,6,6
aws-prod21-useast2,core1,sam-restricted3,m5.8xlarge,6,6
aws-prod21-useast2,core1,sam-restricted4,m5.8xlarge,6,6
aws-prod21-useast2,core1,sam-restricted5,m5.8xlarge,6,6
aws-prod21-useast2,core1,sam-restricted6,m5.8xlarge,6,6
aws-prod21-useast2,core1,sam-restricted7,m5.8xlarge,6,6
aws-prod21-useast2,core1,sam-restricted8,m5.8xlarge,6,6
aws-prod21-useast2,core1,sam-restricted9,m5.8xlarge,6,6
aws-prod21-useast2,ecom1,sam-restricted1,m5.8xlarge,6,6
aws-prod21-useast2,foundation,sam-logging-monitoring1,m5.12xlarge,6,6
aws-prod21-useast2,mulesoft-regional-us,sam-processing1,m5.12xlarge,6,6
aws-prod21-useast2,vanguard1,sam-restricted1,m5.8xlarge,6,6
aws-prod22-apnortheast3,bigdata,sam-processing1,m5.12xlarge,6,6
aws-prod22-apnortheast3,core1,sam-restricted1,m5.8xlarge,6,6
aws-prod22-apnortheast3,core1,sam-restricted2,m5.8xlarge,6,6
aws-prod22-apnortheast3,core1,sam-restricted3,m5.8xlarge,6,6
aws-prod22-apnortheast3,core1,sam-restricted4,m5.8xlarge,6,6
aws-prod22-apnortheast3,core1,sam-restricted5,m5.8xlarge,6,6
aws-prod22-apnortheast3,edge,sam-processing1,m5.12xlarge,6,6
aws-prod22-apnortheast3,foundation,sam-control1,m5.4xlarge,6,6
aws-prod22-apnortheast3,foundation,sam-log-mon1,m5.12xlarge,6,6
aws-prod24-apsouth2,bigdata,sam-processing1,m5.12xlarge,6,6
aws-prod24-apsouth2,core1,sam-restricted1,m5.8xlarge,6,6
aws-prod24-apsouth2,core1,sam-restricted2,m5.8xlarge,6,6
aws-prod24-apsouth2,core1,sam-restricted3,m5.8xlarge,6,6
aws-prod24-apsouth2,core1,sam-restricted4,m5.8xlarge,6,6
aws-prod24-apsouth2,ecom1,sam-processing1,m5.12xlarge,6,6
aws-prod24-apsouth2,ecom1,sam-restricted1,m5.8xlarge,6,6
aws-prod24-apsouth2,edge,sam-processing1,m5.12xlarge,6,6
aws-prod24-apsouth2,foundation,sam-log-mon1,m5.12xlarge,6,6
aws-prod3-eucentral1,aplg,sam-restricted1,m5.12xlarge,6,6
aws-prod3-eucentral1,bigdata,sam-processing1,m5.12xlarge,6,6
aws-prod3-eucentral1,core1,sam-restricted1,m5.8xlarge,6,6
aws-prod3-eucentral1,core1,sam-restricted2,m5.8xlarge,6,6
aws-prod3-eucentral1,core1,sam-restricted3,m5.8xlarge,6,6
aws-prod3-eucentral1,core1,sam-restricted4,m5.8xlarge,6,6
aws-prod3-eucentral1,core1,sam-restricted5,m5.8xlarge,6,6
aws-prod3-eucentral1,core1,sam-restricted6,m5.8xlarge,6,6
aws-prod3-eucentral1,core1,sam-restricted7,m5.8xlarge,6,6
aws-prod3-eucentral1,core1,sam-restricted8,m5.8xlarge,6,6
aws-prod3-eucentral1,core2eoz,sam-restricted1,m5.8xlarge,6,6
aws-prod3-eucentral1,core2eoz,sam-restricted6,m5.8xlarge,6,6
aws-prod3-eucentral1,foundation,sam-logging-monitoring1,m5.12xlarge,6,6
aws-prod3-eucentral1,gld,sam-restricted1,m5.8xlarge,6,6
aws-prod3-eucentral1,monitoring-regional,sam-log-mon2,m5.12xlarge,6,6
aws-prod3-eucentral1,monitoring-regional,sam-log-mon3,m5.12xlarge,6,6
aws-prod3-eucentral1,monitoring-regional,sam-log-mon4,m5.12xlarge,6,6
aws-prod3-eucentral1,monitoring-regional,sam-log-mon5,m5.12xlarge,6,6
aws-prod3-eucentral1,monitoring-regional,sam-log-mon6,m5.12xlarge,6,6
aws-prod3-eucentral1,monitoring-regional,sam-processing1,m5.12xlarge,6,6
aws-prod3-eucentral1,mulesoft-regional-us,sam-processing1,m5.12xlarge,6,6
aws-prod4-apsoutheast2,bigdata,sam-processing1,m5.12xlarge,6,6
aws-prod4-apsoutheast2,core1,sam-restricted1,m5.8xlarge,6,6
aws-prod4-apsoutheast2,core1,sam-restricted2,m5.8xlarge,6,6
aws-prod4-apsoutheast2,core1,sam-restricted3,m5.8xlarge,6,6
aws-prod4-apsoutheast2,core1,sam-restricted4,m5.8xlarge,6,6
aws-prod4-apsoutheast2,core1,sam-restricted5,m5.8xlarge,6,6
aws-prod4-apsoutheast2,core1,sam-restricted6,m5.8xlarge,6,6
aws-prod4-apsoutheast2,diffeo,sam-processing1,m5.12xlarge,6,6
aws-prod4-apsoutheast2,ecom1,sam-processing1,m5.12xlarge,6,6
aws-prod4-apsoutheast2,ecom1,sam-restricted1,m5.8xlarge,6,6
aws-prod4-apsoutheast2,foundation,sam-control1,m5.4xlarge,6,6
aws-prod4-apsoutheast2,foundation,sam-log-mon1,m5.12xlarge,6,6
aws-prod4-apsoutheast2,gld,sam-processing1,m5.12xlarge,6,6
aws-prod4-apsoutheast2,mulesoft-regional-us,sam-processing1,m5.12xlarge,6,6
aws-prod8-cacentral1,bigdata,sam-processing1,m5.12xlarge,6,6
aws-prod8-cacentral1,core1,sam-restricted1,m5.8xlarge,6,6
aws-prod8-cacentral1,core1,sam-restricted2,m5.8xlarge,6,6
aws-prod8-cacentral1,core1,sam-restricted3,m5.8xlarge,6,6
aws-prod8-cacentral1,core1,sam-restricted4,m5.8xlarge,6,6
aws-prod8-cacentral1,edge,sam-processing1,m5.12xlarge,6,6
aws-prod8-cacentral1,foundation,sam-logging-monitoring1,m5.12xlarge,6,6
aws-prod8-cacentral1,gld,sam-processing1,m5.12xlarge,6,6
aws-prod8-cacentral1,m5406,sam-processing2,m5.12xlarge,6,6
aws-prod8-cacentral1,mulesoft-regional-us,sam-processing1,m5.12xlarge,6,6
aws-prod8-cacentral1,mulesoft-regional,sam-processing1,m5.12xlarge,6,6
aws-prod9-apnortheast1,bigdata,sam-processing1,m5.12xlarge,6,6
aws-prod9-apnortheast1,core1,sam-restricted1,m5.8xlarge,6,6
aws-prod9-apnortheast1,core1,sam-restricted2,m5.8xlarge,6,6
aws-prod9-apnortheast1,core1,sam-restricted3,m5.8xlarge,6,6
aws-prod9-apnortheast1,core1,sam-restricted4,m5.8xlarge,6,6
aws-prod9-apnortheast1,core1,sam-restricted5,m5.8xlarge,6,6
aws-prod9-apnortheast1,foundation,sam-control1,m5.4xlarge,6,6
aws-prod9-apnortheast1,foundation,sam-log-mon1,m5.12xlarge,6,6
aws-prod9-apnortheast1,gld,sam-restricted1,m5.8xlarge,6,6
aws-prod9-apnortheast1,m5403,sam-processing2,m5.12xlarge,6,6
aws-prod9-apnortheast1,monitoring-regional,sam-log-mon1,m5.12xlarge,6,6
aws-prod9-apnortheast1,monitoring-regional,sam-log-mon2,m5.12xlarge,6,6
aws-prod9-apnortheast1,monitoring-regional,sam-log-mon3,m5.12xlarge,6,6
aws-prod9-apnortheast1,monitoring-regional,sam-log-mon4,m5.12xlarge,6,6
aws-prod9-apnortheast1,monitoring-regional,sam-log-mon5,m5.12xlarge,6,6
aws-prod9-apnortheast1,monitoring-regional,sam-log-mon6,m5.12xlarge,6,6
aws-prod9-apnortheast1,monitoring-regional,sam-processing1,m5.12xlarge,6,6
aws-prod9-apnortheast1,mulesoft-regional-us,sam-processing1,m5.12xlarge,6,6
aws-prod9-apnortheast1,mulesoft-regional,sam-processing1,m5.12xlarge,6,6
fdev1-uswest2,foundation,sam-control5,m5.4xlarge,6,6
fdev1-uswest2,security,sam-mgmt-truth1,m5.8xlarge,6,5
perf1-useast2,cdp1,sam-restricted1,m5.8xlarge,6,6
perf1-useast2,core1,sam-restricted2,m5.8xlarge,6,6
perf1-useast2,einstein,sam-restricted1,m5.2xlarge,6,6
perf1-useast2,gld,sam-restricted1,m5.8xlarge,6,6
perf1-useast2,unified-engagement1,sam-restricted1,m5.8xlarge,6,6
test1-uswest2,aplg,sam-restricted1,m5.8xlarge,6,6
test1-uswest2,cdp001,sam-restricted1,m5.8xlarge,6,6
test1-uswest2,core3,sam-restricted1,m5.8xlarge,6,6
test1-uswest2,core3,sam-restricted3,m5.8xlarge,6,6
test1-uswest2,core3,sam-restricted5,m5.8xlarge,6,6
test1-uswest2,core3,sam-restricted7,m5.8xlarge,6,6
test1-uswest2,core3,sam-restricted8,m5.8xlarge,6,6
test1-uswest2,core3,sam-restricted9,m5.8xlarge,6,6
test1-uswest2,core4,sam-restricted1,m5.8xlarge,6,6
test1-uswest2,core4,sam-restricted2,m5.8xlarge,6,6
test1-uswest2,ecom1,samrestricted1,m5.8xlarge,6,6
test1-uswest2,einstein2,sam-restricted1,m5.2xlarge,6,6
test1-uswest2,gld,sam-restricted1,m5.8xlarge,6,6
test1-uswest2,unified-engagement,sam-restricted1,m5.8xlarge,6,6
aws-dev2-uswest2,dp-services,sam-processing1,m5.xlarge,5,3
aws-dev2-uswest2,security,sam-mgmt-truth1,m5.4xlarge,5,3
aws-dev4-uswest2,einstein,sam-processing1,c5a.4xlarge,5,2
aws-prod12-uswest3,foundation,sam-control1,m5.4xlarge,5,5
aws-prod13-euwest2,foundation,sam-control1,m5.4xlarge,5,5
aws-prod14-apnortheast2,foundation,sam-control1,m5.4xlarge,5,5
aws-prod15-eucentral2,foundation,sam-control1,m5.4xlarge,5,5
aws-prod15-eucentral2,tableau,sam-processing1,m5.12xlarge,5,5
aws-prod16-sunorth1,foundation,sam-control1,m5.4xlarge,5,5
aws-prod17-apsoutheast3,foundation,sam-control1,m5.4xlarge,5,5
aws-prod18-mecentral1,foundation,sam-control1,m5.4xlarge,5,5
aws-prod21-useast2,foundation,sam-control1,m5.4xlarge,5,5
aws-prod24-apsouth2,foundation,sam-control1,m5.4xlarge,5,5
aws-prod3-eucentral1,core2new,sam-processing1,m5.8xlarge,5,5
aws-prod8-cacentral1,tableau,sam-processing1,r5.8xlarge,5,5
test1-uswest2,security,sam-mgmt-truth1,m5.8xlarge,5,5
aws-dev4-uswest2,tableau,sam-processing2,r5.8xlarge,4,3
aws-prod4-apsoutheast2,m5402,sam-processing1,m5a.8xlarge,4,3
aws-prod9-apnortheast1,m5403,sam-processing1,m5.12xlarge,4,4
fdev1-uswest2,monitoring,sam-processing1,m5a.large,4,3
perf1-useast2,tableau,sam-processing1,r5.8xlarge,4,4
test1-uswest2,monitoring,sam-logging-monitoring1,r5a.24xlarge,4,3
test1-uswest2,unified-engagement,sam-processing1,m5a.4xlarge,4,1
aws-dev5-apsouth1,security,sam-mgmt-truth1,m5.4xlarge,3,3
aws-esvc1-useast2,security,sam-mgmt-truth1,m5.8xlarge,3,3
aws-esvc1-useast2,uip,sam-processing1,r5a.16xlarge,3,2
aws-esvc1-useast2,uip,sam-processing1,r5a.24xlarge,3,3
aws-esvc2-uswest2,security,sam-mgmt-truth1,m5.8xlarge,3,3
aws-esvc3-uswest2,security,sam-mgmt-truth1,m5.8xlarge,3,3
aws-prod13-euwest2,einstein,sam-processing1,c5a.8xlarge,3,3
aws-prod14-apnortheast2,tableau,sam-processing1,r5.8xlarge,3,3
aws-prod15-eucentral2,einstein,sam-processing1,m5.8xlarge,3,3
aws-prod15-eucentral2,tableau,sam-processing1,r5.8xlarge,3,3
aws-prod16-sunorth1,core1,sam-processing1,m5.8xlarge,3,3
aws-prod16-sunorth1,core1,sam-processing2,m5.8xlarge,3,3
aws-prod16-sunorth1,ecom1,sam-restricted1,m5.4xlarge,3,3
aws-prod17-apsoutheast3,bigdata,sam-processing1,m5.8xlarge,3,3
aws-prod17-apsoutheast3,tableau,sam-processing1,r5.8xlarge,3,3
aws-prod18-mecentral1,gld,sam-restricted1,m5.4xlarge,3,3
aws-prod20-llcentral1,einstein,sam-processing1,c5.9xlarge,3,3
aws-prod21-useast2,einstein2,sam-processing1,m5a.8xlarge,3,3
aws-prod24-apsouth2,tableau,sam-processing1,r5.8xlarge,3,3
aws-prod3-eucentral1,aplg,sam-processing1,m5.2xlarge,3,3
aws-prod3-eucentral1,aplg,sam-processing1,m5.xlarge,3,3
aws-prod3-eucentral1,aplg,sam-processing1,r5.2xlarge,3,3
aws-prod3-eucentral1,einstein,sam-processing1,m5a.8xlarge,3,3
aws-prod3-eucentral1,einstein2,sam-processing1,m5a.8xlarge,3,3
aws-prod4-apsoutheast2,ecom1,sam-restricted1,m5.4xlarge,3,3
aws-prod4-apsoutheast2,einstein,sam-processing1,m5a.8xlarge,3,3
aws-prod8-cacentral1,einstein,sam-processing1,m5a.8xlarge,3,3
aws-prod8-cacentral1,m5406,sam-processing1,m5a.8xlarge,3,3
aws-prod9-apnortheast1,einstein,sam-processing1,m5a.8xlarge,3,3
fdev1-uswest2,monitoring,sam-logging-monitoring1,r5a.24xlarge,3,3
fdev1-uswest2,security,sam-mgmt-truth1,m5.4xlarge,3,3
perf1-useast2,monitoring,sam-logging-monitoring1,r5a.24xlarge,3,3
perf1-useast2,security,sam-mgmt-truth1,m5.8xlarge,3,2
perf2-uswest2,security,sam-mgmt-truth1,m5.4xlarge,3,3
test1-uswest2,security,sam-mgmt-truth1,m5.4xlarge,3,3
aws-dev2-uswest2,security,sam-mgmt-truth1,m5.8xlarge,2,2
aws-dev4-uswest2,security,sam-mgmt-truth1,m5.4xlarge,2,2
aws-dev4-uswest2,security,sam-mgmt-truth1,m5.8xlarge,2,2
fdev1-uswest2,monitoring,sam-processing1,m5a.2xlarge,2,1
perf1-useast2,einstein,sam-processing1,c5a.4xlarge,2,1
perf1-useast2,security,sam-mgmt-truth1,m5.4xlarge,2,2
test1-uswest2,cdp001,sam-processing1,c5a.4xlarge,2,1
test1-uswest2,cdp002,sam-processing1,c5a.4xlarge,2,1
aws-dev4-uswest2,regrello,sam-processing1,c5a.4xlarge,1,1
aws-prod13-euwest2,tableau,sam-processing1,m5.8xlarge,1,1
aws-prod21-useast2,airesearch,sam-processing1,m5.xlarge,1,1
aws-prod3-eucentral1,aplg,sam-restricted1,m5.2xlarge,1,1
aws-prod3-eucentral1,tableau,sam-processing1,m5.8xlarge,1,1
aws-prod3-eucentral1,tableau,sam-processing2,m5.8xlarge,1,1
aws-prod4-apsoutheast2,tableau,sam-processing1,m5.8xlarge,1,1
aws-prod5-uswest2,aplg,sam-restricted1,r5.4xlarge,1,1
aws-prod5-uswest2,tableau,sam-processing2,m5.8xlarge,1,1
aws-prod5-uswest2,tableau,sam-processing3,m5.8xlarge,1,1
aws-prod5-uswest2,tableau,sam-processing4,m5.8xlarge,1,1
aws-prod5-uswest2,tableau,sam-processing5,m5.8xlarge,1,1
aws-prod5-uswest2,tableau,sam-processing6,m5.8xlarge,1,1
aws-prod5-uswest2,tableau,sam-processing7,m5.8xlarge,1,1
aws-prod8-cacentral1,tableau,sam-processing1,m5.8xlarge,1,1
aws-prod9-apnortheast1,tableau,sam-processing1,m5.8xlarge,1,1
fdev1-uswest2,foundation,sam-processing3,m5.12xlarge,1,1
fdev1-uswest2,foundation,sam-processing5,m5.4xlarge,1,1
perf1-useast2,einstein,sam-processing1,r5a.8xlarge,1,1
perf2-uswest2,cdp1,sam-processing1,c5a.24xlarge,1,1
test1-uswest2,cdp001,sam-processing1,m5a.4xlarge,1,1
test1-uswest2,cdp002,sam-processing1,m5a.12xlarge,1,1
test1-uswest2,cdp002,sam-processing1,m5a.8xlarge,1,1
test1-uswest2,einstein2,sam-processing1,c5a.4xlarge,1,1
test1-uswest2,einstein2,sam-processing1,m5a.16xlarge,1,1
test1-uswest2,einstein2,sam-processing1,r5a.4xlarge,1,1
test1-uswest2,einstein2,sam-processing1,r5a.8xlarge,1,1
test1-uswest2,einsteintest1,sam-processing1,c5a.4xlarge,1,1
test1-uswest2,einsteintest1,sam-processing1,m5a.4xlarge,1,1
test1-uswest2,einsteintest1,sam-processing1,r5a.4xlarge,1,1
test1-uswest2,m201,sam-processing1,r5a.4xlarge,1,1
test1-uswest2,unified-engagement,sam-processing1,c5a.4xlarge,1,1
