servicename,bom_prod_fkp,bom_prod_total,bom_prod_adoption_percent,bom_nonprod_fkp,bom_nonprod_total,bom_nonprod_adoption_percent,bom_prod_adoption,bom_nonprod_adoption
diffeo-model,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
diffeo-internal-gateway,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
diffeo-engine,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
diffeo-elasticsearch,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
diffeo-reingest,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
diffeo-eywa-worker,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
diffeo-accounts,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
diffeo-gateway,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
diffeo-ygg-api,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
diffeo-engine-s3,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
diffeo-ygg-worker,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
diffeo-windowing,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
diffeo-sims,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
diffeo-eywa-health,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
diffeo-worker,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
diffeo-moreover,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
edm,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
compute,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
hawking-mgmt-consul,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
smartagent-predictor,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
hawking-mgmt-cmdgateway,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
ocr-predictor-helm,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
perfometr,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
erb-predictor,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
hawking-mgmt-jitui,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
operation-catalog-manager,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
ssm-management-gia2h,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
sdpl-rollouts-demo,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
sfmaps-gisdbproxy-falcon,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
sfmaps-arcgis,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
sfmaps-aa,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
sfmaps-territories-worker,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
sfmaps-gis-falcon,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
sfmaps-geocoding-falcon,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
sfmaps-gis-falcon-worker,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
sfmaps-tokenizer,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
sfmaps-data-etl,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
sfmaps-router,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
sfmaps-routing-falcon,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
sfmaps-gateway-falcon,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
sfmaps-s2,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
sfmaps-routing-falcon-worker,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
scrt2-devops,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
sfmaps-images-falcon,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
sfmaps-territories,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
sfmaps-geocoder,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
tide-test,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
ajnazk,0,12,0.0,0,21,0.0,0/12 (0.0%),0/21 (0.0%)
ami-replicator,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
sfcd-awsbake,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
ami-perms,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
ami-cleaner,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
service1,0,0,0,0,2,0.0,N/A,0/2 (0.0%)
sfcdplatform,0,1,0.0,0,2,0.0,0/1 (0.0%),0/2 (0.0%)
cloudmap-api,0,1,0.0,0,2,0.0,0/1 (0.0%),0/2 (0.0%)
No service on cluster,0,3,0.0,0,4,0.0,0/3 (0.0%),0/4 (0.0%)
prazk,0,1,0.0,0,2,0.0,0/1 (0.0%),0/2 (0.0%)
helm-extractor,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
object-replicator,0,2,0.0,0,4,0.0,0/2 (0.0%),0/4 (0.0%)
stargate,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
ecr-perms,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
fcp-unzip,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
terraform-replicator,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
fcp-archive-replicator,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
docker-sigs-replicator,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
helm-archive-replicator,0,1,0.0,0,1,0.0,0/1 (0.0%),0/1 (0.0%)
hawking-eks,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
hawking-meta,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
fit-validatorr,0,4,0.0,0,5,0.0,0/4 (0.0%),0/5 (0.0%)
integration-test-servicer,0,4,0.0,0,5,0.0,0/4 (0.0%),0/5 (0.0%)
fit-operationsr,0,4,0.0,0,5,0.0,0/4 (0.0%),0/5 (0.0%)
fit-test-twisterr,0,4,0.0,0,5,0.0,0/4 (0.0%),0/5 (0.0%)
fit-controller-servicer,0,4,0.0,0,5,0.0,0/4 (0.0%),0/5 (0.0%)
collection,0,1,0.0,0,2,0.0,0/1 (0.0%),0/2 (0.0%)
cdp-disaster-recovery,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
edc-shared,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
cdp-transform-engine,0,0,0,0,3,0.0,N/A,0/3 (0.0%)
cdp-gate-manager-service,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
hawking-compute,0,200,0.0,0,303,0.0,0/200 (0.0%),0/303 (0.0%)
hawking-compute-meta,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
mce-cdp-config,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
mce-nimbus,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
amg-gateway-ext,0,1,0.0,0,2,0.0,0/1 (0.0%),0/2 (0.0%)
amg-infra,0,1,0.0,0,2,0.0,0/1 (0.0%),0/2 (0.0%)
amg-istio,0,1,0.0,0,2,0.0,0/1 (0.0%),0/2 (0.0%)
amg-ingress-gateway,0,1,0.0,0,2,0.0,0/1 (0.0%),0/2 (0.0%)
cdp-fedx-example,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
magister,0,1,0.0,0,2,0.0,0/1 (0.0%),0/2 (0.0%)
kaiju,0,1,0.0,0,2,0.0,0/1 (0.0%),0/2 (0.0%)
ajnaoperator,0,0,0,0,2,0.0,N/A,0/2 (0.0%)
gov-image-hardening,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
waas-redis,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
edge,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
resultng,0,1,0.0,0,2,0.0,0/1 (0.0%),0/2 (0.0%)
