servicename,bom_prod_fkp,bom_prod_total,bom_prod_adoption_percent,bom_nonprod_fkp,bom_nonprod_total,bom_nonprod_adoption_percent,bom_prod_adoption,bom_nonprod_adoption
dnr-k2s,0,1,0.0,0,2,0.0,0/1 (0.0%),0/2 (0.0%)
funnelevents,0,0,0,0,4,0.0,N/A,0/4 (0.0%)
funnellogs,0,2,0.0,0,4,0.0,0/2 (0.0%),0/4 (0.0%)
funnel,0,2,0.0,0,4,0.0,0/2 (0.0%),0/4 (0.0%)
privateconnect-outbound-dp,0,1,0.0,0,2,0.0,0/1 (0.0%),0/2 (0.0%)
ump-controller,0,1,0.0,0,2,0.0,0/1 (0.0%),0/2 (0.0%)
ajnaendpoint,0,3,0.0,0,6,0.0,0/3 (0.0%),0/6 (0.0%)
ajnamirus,0,1,0.0,0,2,0.0,0/1 (0.0%),0/2 (0.0%)
ajnatopicapi,0,6,0.0,0,9,0.0,0/6 (0.0%),0/9 (0.0%)
cdp-inference-engine,0,2,0.0,0,6,0.0,0/2 (0.0%),0/6 (0.0%)
cdp-istio,0,2,0.0,0,6,0.0,0/2 (0.0%),0/6 (0.0%)
cdp-internal-ingress-gateway,0,2,0.0,0,6,0.0,0/2 (0.0%),0/6 (0.0%)
cdp-dpc-eks,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
cdp-realtime-service,0,2,0.0,0,6,0.0,0/2 (0.0%),0/6 (0.0%)
cdp-query-service,0,2,0.0,0,6,0.0,0/2 (0.0%),0/6 (0.0%)
dnr-streamingsearch,0,1,0.0,0,2,0.0,0/1 (0.0%),0/2 (0.0%)
mce-api-gateway,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
mce-sto-worker,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
mce-istio,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
mce-internal-ingress-gateway,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
mce-sprinkler,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
mce-castle-black,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
mce-acdc,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
mce-envoy-metrics-scraper,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
mce-provisioner,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
mce-deviner,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
mce-orchard,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
mce-eks,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
mce-sto-service,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
mce-control-pod,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
mce-compute,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
mce-goodbye,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
mce-hermes-service,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
tvm-db-automation,0,1,0.0,0,2,0.0,0/1 (0.0%),0/2 (0.0%)
dnr-orion,0,1,0.0,0,2,0.0,0/1 (0.0%),0/2 (0.0%)
cdp-data-processing-controller,0,3,0.0,0,9,0.0,0/3 (0.0%),0/9 (0.0%)
cloudwatchexporter,0,1,0.0,0,2,0.0,0/1 (0.0%),0/2 (0.0%)
baas,0,1,0.0,0,2,0.0,0/1 (0.0%),0/2 (0.0%)
cdp-data-extractor-crm-service,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
cdp-segmentation-service,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
sfdw-entitlement-usage-service,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
cdp-data-prep,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
cdp-insights-engine,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
edc-model-builder,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
cdp-data-ingestion-service,0,2,0.0,0,6,0.0,0/2 (0.0%),0/6 (0.0%)
edc-inference,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
p13n-attribution-engine,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
psp-index-manager,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
cdp-actions-service,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
cdp-control-box,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
cdp-billing-service,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
p13n-recommendation-engine,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
cdp-policy-engine,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
cdp-data-connectors-jobs,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
cdp-metadata-service,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
cdp-geo-provisioning-service,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
credential-service,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
cdp-data-transformation-service,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
cdp-settingspath-injector,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
cdp-mgmt-cmdgateway,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
cdp-data-service,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
cdp-multiorg-service,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
p13n-decisioning-pipeline,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
cdp-iceberg-explorer,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
cdp-job-uploader,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
p13n-process-object-service,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
cdp-eks,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
cdp-realtime-mgmt-service,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
cdp-data-sync-service,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
edc-director,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
ai-metadata-service,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
cdp-hyperdb,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
data-cloud-cdp-fabric-access,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
cdp-envoy-metrics-scraper,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
cdp-infra,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
cdp-data-extractor-dispatcher,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
cdp-profile-engine,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
cdp-pra-istio-ingress-gateway,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
cdp-data-extractor-events,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
cdp-activation-service,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
cdp-gdpr-service,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
cdp-partner-activation-service,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
cdp-keda,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
cdp-admin-service,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
cdp-data-connectors,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
cdp-authentication-service,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
cdp-airflow-service,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
cdp-scheduler-service,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
cdp-istio-ingress-gateway,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
cdp-mgmt-jit-ui,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
dnr-airflow,0,1,0.0,0,2,0.0,0/1 (0.0%),0/2 (0.0%)
pkiinfra,0,1,0.0,0,2,0.0,0/1 (0.0%),0/2 (0.0%)
kraken,0,1,0.0,0,2,0.0,0/1 (0.0%),0/2 (0.0%)
hawking-compute-eks,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
hawking-istio-igw,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
hawking-istiod,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
hawking-istio-operator,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
hawking-oauth2,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
hawking-compute-proxy,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
registry,0,1,0.0,0,2,0.0,0/1 (0.0%),0/2 (0.0%)
terraform,0,1,0.0,0,2,0.0,0/1 (0.0%),0/2 (0.0%)
tiim,0,0,0,0,2,0.0,N/A,0/2 (0.0%)
cdp-query-federator,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
dnr-molokai,0,1,0.0,0,2,0.0,0/1 (0.0%),0/2 (0.0%)
cdp-data-capture-eks,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
cdp-beacon-istio,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
beacons-control-box,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
cdp-beacon-ingress-gateway,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
cdp-beacon-metrics-scraper,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
dnr-prism,0,1,0.0,0,2,0.0,0/1 (0.0%),0/2 (0.0%)
dnr-connector,0,1,0.0,0,2,0.0,0/1 (0.0%),0/2 (0.0%)
certificateservices,0,1,0.0,0,2,0.0,0/1 (0.0%),0/2 (0.0%)
