servicename,bom_prod_fkp,bom_prod_total,bom_prod_adoption_percent,bom_nonprod_fkp,bom_nonprod_total,bom_nonprod_adoption_percent,bom_prod_adoption,bom_nonprod_adoption
interactive-data-science,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
ccp-submitter,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
egpt-svc-llm-proxy,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
egpt-svc-feedback,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
graph-execution-service,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
mvs,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
api-service,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
output-connector,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
bot-svc-llm,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
bot-svc-llmagent,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
ccp-server,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
eflow-flow-history,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
batch-ingestion-service,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
cce-byoc-poc-predictor,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
eflow-scheduler,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
hawking-ml-console,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
hawking-feast-serving,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
provisioning-service,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
triton,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
auth-service,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
einstein-transcribe,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
ml-res-evaluator,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
eflow-orchestration,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
hyperforce-service-protection,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
hawking-ai-observability,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
ccp-eventprocessor,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
ccp-esproxy,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
persistence-connector,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
einstein-ai-gateway,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
vaultlite,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
flowsnake-impersonation-proxy,0,7,0.0,0,11,0.0,0/7 (0.0%),0/11 (0.0%)
prediction,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
fs-flowsnake,0,7,0.0,0,11,0.0,0/7 (0.0%),0/11 (0.0%)
mllake,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
evf-service,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
grls-operator,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
ccp-tracker,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
modelstore,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
kmsdb-backup-validation,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
fwe-o2-osrm-north-america,0,12,0.0,0,18,0.0,0/12 (0.0%),0/18 (0.0%)
jarviscoordinator,0,4,0.0,0,5,0.0,0/4 (0.0%),0/5 (0.0%)
chronicle-grafana,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
qpid,0,25,0.0,0,25,0.0,0/25 (0.0%),0/25 (0.0%)
sfs-eso-data-fetch,0,0,0,0,8,0.0,N/A,0/8 (0.0%)
maps,0,0,0,0,3,0.0,N/A,0/3 (0.0%)
sfs-eso-data-translate,0,0,0,0,8,0.0,N/A,0/8 (0.0%)
eanalytics-batch,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
caas,0,25,0.0,0,25,0.0,0/25 (0.0%),0/25 (0.0%)
wc-processor,0,4,0.0,0,6,0.0,0/4 (0.0%),0/6 (0.0%)
clm-docgen-service,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
sfs-eso-data-update,0,0,0,0,8,0.0,N/A,0/8 (0.0%)
fwe-o2-update-long,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
scrt1zk,0,4,0.0,0,6,0.0,0/4 (0.0%),0/6 (0.0%)
eanalytics-ed,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
eventbusruntime,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
sequencer,0,25,0.0,0,26,0.0,0/25 (0.0%),0/26 (0.0%)
bundler-adapter-fedx,0,4,0.0,0,6,0.0,0/4 (0.0%),0/6 (0.0%)
caaspc,0,25,0.0,0,25,0.0,0/25 (0.0%),0/25 (0.0%)
chronicle-orchestrator,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
jarvisrecipeexecutor,0,4,0.0,0,5,0.0,0/4 (0.0%),0/5 (0.0%)
fwe-o2-matrix,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
custom-domain,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
sfs-eso-orchestrator,0,0,0,0,8,0.0,N/A,0/8 (0.0%)
dapp,0,22,0.0,0,23,0.0,0/22 (0.0%),0/23 (0.0%)
wc-adapter,0,4,0.0,0,6,0.0,0/4 (0.0%),0/6 (0.0%)
ois,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
vegacache,0,13,0.0,0,19,0.0,0/13 (0.0%),0/19 (0.0%)
fwe-o2-optimization,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
chronicle-alert-router,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
rediscluster-manager,0,6,0.0,0,9,0.0,0/6 (0.0%),0/9 (0.0%)
fwe-o2-engine,0,8,0.0,0,12,0.0,0/8 (0.0%),0/12 (0.0%)
eanalytics-lowlatency,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
chronicle-oracle-exporter,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
chronicle-server,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
eanalytics-redis,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
pupparazzi,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
eaas,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
keystone-async-proc,0,0,0,0,3,0.0,N/A,0/3 (0.0%)
scrt1lapp,0,4,0.0,0,6,0.0,0/4 (0.0%),0/6 (0.0%)
fwe-bundler-manager,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
bundler-manager-fedx,0,4,0.0,0,6,0.0,0/4 (0.0%),0/6 (0.0%)
chronicle-argus-adapter,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
fwe-bundler-clustering,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
caasla,0,4,0.0,0,6,0.0,0/4 (0.0%),0/6 (0.0%)
ciaccdisc,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
gca,0,2,0.0,0,5,0.0,0/2 (0.0%),0/5 (0.0%)
eanalytics-moana,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
eventbusapi,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
fwe-o2-sb-update-long,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
o2-sb-data-translator-service,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
platform-radio,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
clm-pdfgen-service,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
pbsgeo,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
bundler-avp-engine-fedx,0,4,0.0,0,6,0.0,0/4 (0.0%),0/6 (0.0%)
coreapp,0,25,0.0,0,26,0.0,0/25 (0.0%),0/26 (0.0%)
fwe-o2-sb-optimization,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
sdb-dbaas-broker,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
crrs-fsfo-observer,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
o2-sb-fetch-data-service,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
fwe-platform-ft,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
orgstore-provisioner,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
dbschema-upgrade,0,4,0.0,0,5,0.0,0/4 (0.0%),0/5 (0.0%)
jarvisapiserver,0,2,0.0,0,4,0.0,0/2 (0.0%),0/4 (0.0%)
chronicle-cloudwatch-exporter,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
o2-fetch-data-service,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
o2-data-translator-service,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
chronicle-loki,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
dp-master,0,6,0.0,0,7,0.0,0/6 (0.0%),0/7 (0.0%)
jarvisstoragemanager,0,4,0.0,0,5,0.0,0/4 (0.0%),0/5 (0.0%)
mediaservicefd,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
fwe-bundler-avp-engine,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
fwe-o2-s2pip,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
fwe-bundler-data-adapter,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
chronicle-zk,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
chronicle-alertmanager,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
bundler-clustering-fedx,0,4,0.0,0,6,0.0,0/4 (0.0%),0/6 (0.0%)
orgstore-permissions,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
pbsmatch,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
skb-engine,0,2,0.0,0,4,0.0,0/2 (0.0%),0/4 (0.0%)
eanalytics-cassandra,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
inbound-mta,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
jarvisstatusreporter,0,4,0.0,0,5,0.0,0/4 (0.0%),0/5 (0.0%)
dnr-search-troll,0,2,0.0,0,2,0.0,0/2 (0.0%),0/2 (0.0%)
dnr-fsnormalizer,0,1,0.0,0,2,0.0,0/1 (0.0%),0/2 (0.0%)
gridforce-orca,0,1,0.0,0,2,0.0,0/1 (0.0%),0/2 (0.0%)
dnr-partitioner,0,1,0.0,0,2,0.0,0/1 (0.0%),0/2 (0.0%)
dnrdp-orion,0,1,0.0,0,2,0.0,0/1 (0.0%),0/2 (0.0%)
scrt2-conversation,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
scrt2-commongateway,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
scrt2-agent,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
bot-svc-eventlogs-retry,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
bot-svc-worker,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
scrt2-persist,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
scrt2-mpadmin,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
scrt2-messagingchannels,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
