Org Leader,Parent Cloud,Cloud,Team Name,Service Name,"non-FKP Instance Count 
 Commercial",Commercial ETA,non-FKP Instance Count Gia2h,Gia2h ETA,non-FKP Instance Count Blackjack,BlackJack ETA,Decommission ETA,Feature Dependencies,Comments
Paul Constantinides,HPS,Hyperforce Trust Platform (HTP),IAM Platform Integrity and C4SSH,c4ssh,34,Completed with Clean-Up Required,0,N/A,1,FY27Q2,FY27Q1,,
Muralidhar Krishnaprasad,D360,D360 Customer Data Platform (CDP),CDP Actions Engine (Core + Off Core),cdp-actions-service,40,FY27Q2,4,Need More Info,0,N/A,N/A,,
Muralidhar Krishnaprasad,D360,D360 Customer Data Platform (CDP),CDP_Activation,cdp-activation-service,132,FY27Q2,5,Need More Info,0,N/A,N/A,,
Muralidhar Krishnaprasad,D360,D360 Customer Data Platform (CDP),CDP_Admin_Services,cdp-admin-service,40,FY27Q2,4,Need More Info,0,N/A,N/A,,
Muralidhar Krishnaprasad,D360,D360 Customer Data Platform (CDP),CDP Admin Services - India,cdp-airflow-service,40,FY27Q2,4,Need More Info,0,N/A,N/A,,
Muralidhar Krishnaprasad,D360,D360 Customer Data Platform (CDP),CDP Service Protection,cdp-authentication-service,40,FY27Q2,4,Need More Info,0,N/A,N/A,,
Muralidhar Krishnaprasad,D360,D360 Service Delivery,Data Cloud Istio,cdp-beacon-ingress-gateway,40,To Be Decommissioned,4,To Be Decommissioned,0,N/A,FY27Q4,,
Muralidhar Krishnaprasad,D360,D360 Service Delivery,Data Cloud Istio,cdp-beacon-istio,40,To Be Decommissioned,4,To Be Decommissioned,0,N/A,FY27Q4,,
Muralidhar Krishnaprasad,D360,D360 Service Delivery,Data Cloud Istio,cdp-beacon-metrics-scraper,40,To Be Decommissioned,4,To Be Decommissioned,0,N/A,FY27Q4,,
Muralidhar Krishnaprasad,D360,D360 Customer Data Platform (CDP),Data Cloud Usage Telemetry Collection and Reporting,cdp-billing-service,153,FY27Q2,4,Need More Info,0,N/A,N/A,,
