Service Name,Non-FKP Instance Count,Commercial ETA,GIA ETA,BlackJack ETA,Requirements
flowsnake-spark-operator,56 | |,FY26Q4,N/A,N/A,None
fre,2 | |,Need More Info,N/A,N/A,None
fs-flowsnake,54 | 0 |,FY26Q4,N/A,N/A,None
fs-moana,24 | |,FY26Q4,N/A,N/A,None
fsre-eks-svc,2 | |,To Be Decomissioned,N/A,N/A,None
ftg-test-recommender,1 | |,Need More Info,N/A,N/A,None
funnel,26 | 4 | 1,FY27Q1,FY26Q4,Need More Info,None
funnel-rl,6 | |,FY27Q1,N/A,N/A,None
funnelevents,25 | 4 |,FY27Q1,FY26Q4,N/A,None
funnellogs,25 | 4 | 1,FY27Q1,FY26Q4,Need More Info,None
gridforce,25 | 0 | 0,FY27Q2,N/A,N/A,Multi-Account
hbase,73 | 0 | 0,FY27Q2,N/A,N/A,Multi-Account
helm-archive-replicator,2 | |,FY26Q4,N/A,N/A,None
helm-extractor,1 | | 1,FY26Q4,N/A,Need More Info,None
intakeapp,1 | |,To Be Decomissioned,N/A,N/A,None
integration-test-service,370 | 26 | 11,Need More Info,Need More Info,Need More Info,None
cdp-policy-engine,39 | 3 |,FY27Q2,Need More Info,N/A,None
kaiju,1 | | 1,FY26Q4,N/A,Need More Info,None
macha-api,1 | |,FY26Q4,N/A,N/A,None
monexapi,1 | |,Need More Info,N/A,N/A,None
nucleus-jobs,2 | |,Need More Info,N/A,N/A,None
object-replicator,3 | |,FY26Q4,N/A,N/A,None
oob-collector,18 | |,Need More Info,N/A,N/A,None
oob-telemetry-collector,58 | |,Need More Info,N/A,N/A,None
oracle-large-binaries,1 | |,FY26Q4,N/A,N/A,None
pcs,5 | | 1,FY26Q4,N/A,Need More Info,None
pcs-arc,5 | | 1,FY26Q4,N/A,Need More Info,None
pcs-autohydrator,5 | |,FY26Q4,N/A,N/A,None
pcs-gumberoo,5 | | 1,FY26Q4,N/A,Need More Info,None
pcs-hogs,10 | | 1,FY26Q4,N/A,Need More Info,None
pcs-majordomo,5 | | 1,FY26Q4,N/A,Need More Info,None
pcs-majordomo-operator,5 | | 1,FY26Q4,N/A,Need More Info,None
pcs-misr,5 | | 1,FY26Q4,N/A,Need More Info,None
pcs-tool,5 | | 1,FY26Q4,N/A,Need More Info,None
productivity-insights-tracer,2 | |,Need More Info,N/A,N/A,None
public-funnel,5 | |,FY27Q1,N/A,N/A,None
public-funnelevents,5 | |,FY27Q1,N/A,N/A,None
public-funnellogs,5 | |,FY27Q1,N/A,N/A,None
r53proxy,| 51 |,N/A,To Be Decomissioned,N/A,None
registry,26 | 2 | 1,Need More Info,Need More Info,Need More Info,None
resultng,2 | | 1,Need More Info,N/A,Need More Info,None
rossapi,2 | |,FY26Q4,N/A,N/A,None
rossapi-istio,2 | |,FY26Q4,N/A,N/A,None
rossexec,2 | |,FY26Q4,N/A,N/A,None
rosssal,9 | |,FY26Q4,N/A,N/A,None
rosstest,2 | |,FY26Q4,N/A,N/A,None
sfcd-argo-workflows,1 | |,Need More Info,N/A,N/A,None
sfcd-awsbake,3 | | 1,FY27Q4,N/A,Need More Info,None
sfcd-cs-funnel-metrics,9 | | 1,Need More Info,N/A,Need More Info,None
sfcd-echovmf,8 | |,Need More Info,N/A,N/A,None
sfcd-workflow-api,4 | |,Need More Info,N/A,N/A,None
sfcdconfigservice,| | 1,N/A,N/A,Need More Info,None
sfcdekstest1,| | 1,N/A,N/A,Need More Info,None
sfcdpgaas,2 | |,Need More Info,N/A,N/A,None
sfcdplatform,5 | | 1,Need More Info,N/A,Need More Info,None
sfcdvmfcm,1 | |,Need More Info,N/A,N/A,None
sfci-ai,2 | |,Need More Info,N/A,N/A,None
sfci-build-insights-service,2 | |,Need More Info,N/A,N/A,None
sfci-builds,2 | |,Need More Info,N/A,N/A,None
sfci-docker-proxy,2 | |,Need More Info,N/A,N/A,None
sfci-gec,5 | |,Need More Info,N/A,N/A,None
sfci-gecistio,2 | |,Need More Info,N/A,N/A,None
sfci-istio,2 | |,Need More Info,N/A,N/A,None
sfci-p2p,2 | |,Need More Info,N/A,N/A,None
sfci-pypi,2 | |,Need More Info,N/A,N/A,None
