				Audit Name	Audit Name	Audit Name	Audit Name
Sr Exec	Eng Manager	Service Name	Service Tier	# Replicas	AZ Distrib	HPA	Liveness Probe
Muralidhar Krishnaprasad	Meir Amiel	scrt2-interaction	1	98%	51%	0%	100%
Muralidhar Krishnaprasad	Meir Amiel	scrt2-livemessage	0	75%	71%	25%	98%
Muralidhar Krishnaprasad	Meir Amiel	scrt2-messagingchannels	0	99%	46%	99%	99%
Muralidhar Krishnaprasad	Meir Amiel	scrt2-mpadmin	0	98%	75%	0%	100%
Muralidhar Krishnaprasad	Meir Amiel	scrt2-persist	0	97%	26%	0%	
Muralidhar Krishnaprasad	Meir Amiel	scrt2-routing	1	97%	46%	99%	100%
Muralidhar Krishnaprasad	Meir Amiel	scrt2-singleton	0	98%	18%	99%	100%
Muralidhar Krishnaprasad	Meir Amiel	scrt2-telephony	1	97%	58%	99%	99%
Muralidhar Krishnaprasad	Meir Amiel	scrt2-transcripts	0	96%	29%	0%	100%
Muralidhar Krishnaprasad	Meir Amiel	sfs-eso-data-fetch	1	98%	81%	74%	99%
Muralidhar Krishnaprasad	Meir Amiel	sfs-eso-data-translate	1	98%	69%	75%	99%
Muralidhar Krishnaprasad	Meir Amiel	sfs-eso-data-update	1	98%	75%	74%	99%
Muralidhar Krishnaprasad	Meir Amiel	sfs-eso-orchestrator	1	98%	87%	74%	99%
Muralidhar Krishnaprasad	Meir Amiel	sfs-mobile-authentication	1	98%	100%	98%	100%
Muralidhar Krishnaprasad	Meir Amiel	sfs-mobile-cdc-eventing	1	49%	52%	99%	49%
Muralidhar Krishnaprasad	Meir Amiel	sfs-mobile-priming	1	49%	75%	99%	50%
Muralidhar Krishnaprasad	Meir Amiel	sfs-mobile-provisioning	1	96%	100%	95%	99%
Muralidhar Krishnaprasad	Meir Amiel	sfs-o2-decomposer	1	98%	88%	99%	100%
Muralidhar Krishnaprasad	Muralidhar Krishnaprasad	anypoint-flash-api-service	1	98%	100%	100%	100%
Muralidhar Krishnaprasad	Muralidhar Krishnaprasad	anypoint-flash-mule-message-processor-service	1	95%	95%	95%	100%
Muralidhar Krishnaprasad	Muralidhar Krishnaprasad	anypoint-flash-notification-processor-service	1	98%	100%	100%	100%
Muralidhar Krishnaprasad	Muralidhar Krishnaprasad	anypoint-flash-platform-messages-service	1	98%	98%	95%	100%
Muralidhar Krishnaprasad	Muralidhar Krishnaprasad	anypoint-mq-admin-service	1	98%	100%	100%	100%
Muralidhar Krishnaprasad	Muralidhar Krishnaprasad	anypoint-mq-msg-service	0	98%	100%	100%	100%
Muralidhar Krishnaprasad	Muralidhar Krishnaprasad	anypoint-mq-stats-service	1	95%	98%	100%	100%
Muralidhar Krishnaprasad	Muralidhar Krishnaprasad	anypoint-mq-ui	1	97%	100%	96%	100%
Muralidhar Krishnaprasad	Muralidhar Krishnaprasad	api-manager-asset-publication-service	1	95%	52%	98%	99%
Muralidhar Krishnaprasad	Muralidhar Krishnaprasad	api-manager-contract-caching-service	0	98%	100%	100%	100%
Muralidhar Krishnaprasad	Muralidhar Krishnaprasad	api-manager-platform-service	1	100%	100%	98%	100%
Muralidhar Krishnaprasad	Muralidhar Krishnaprasad	api-manager-platform-ui	1	95%	100%	100%	99%
Muralidhar Krishnaprasad	Muralidhar Krishnaprasad	api-manager-policies-runtime-service	0	99%	74%	99%	99%
Muralidhar Krishnaprasad	Muralidhar Krishnaprasad	api-manager-proxies-xapi-service	1	100%	100%	100%	100%
Muralidhar Krishnaprasad	Muralidhar Krishnaprasad	api-manager-proxy-builder-service	1	97%	100%	100%	100%
Muralidhar Krishnaprasad	Muralidhar Krishnaprasad	api-protection	1	97%	52%	99%	100%
Muralidhar Krishnaprasad	Muralidhar Krishnaprasad	arm-application-mgr-service	1	98%	100%	100%	100%
Muralidhar Krishnaprasad	Muralidhar Krishnaprasad	arm-mcm2-service	1	98%	52%	98%	100%
Muralidhar Krishnaprasad	Muralidhar Krishnaprasad	arm-ms-atlas-service	1	99%	100%	100%	100%
Muralidhar Krishnaprasad	Muralidhar Krishnaprasad	arm-ms-mcm-service	1	100%	100%	100%	100%
Muralidhar Krishnaprasad	Muralidhar Krishnaprasad	arm-standalone-manager-service	1	99%	25%	100%	100%
Muralidhar Krishnaprasad	Muralidhar Krishnaprasad	audit-log-consumer-service	1	96%	74%	99%	100%
Muralidhar Krishnaprasad	Muralidhar Krishnaprasad	audit-log-ingest-service	1	100%	100%	98%	100%
Muralidhar Krishnaprasad	Muralidhar Krishnaprasad	audit-log-query-service	1	99%	100%	100%	100%
Muralidhar Krishnaprasad	Muralidhar Krishnaprasad	b2b-solution-tracking-xapi	1	98%	100%	100%	100%
Muralidhar Krishnaprasad	Muralidhar Krishnaprasad	b2b-solution-ui	1	98%	51%	100%	99%
Muralidhar Krishnaprasad	Muralidhar Krishnaprasad	b2b-solution-xapi	1	100%	100%	100%	100%
Muralidhar Krishnaprasad	Muralidhar Krishnaprasad	deploy-webserver-anypoint	0	99%	50%	99%	99%
Muralidhar Krishnaprasad	Muralidhar Krishnaprasad	design-center-projects-service	1	98%	100%	98%	100%
Muralidhar Krishnaprasad	Muralidhar Krishnaprasad	ingestion-validation-sharding-job	1	98%	80%	100%	0%
Muralidhar Krishnaprasad	Muralidhar Krishnaprasad	managed-gateway-api-service	1	95%	52%	98%	99%
Muralidhar Krishnaprasad	Muralidhar Krishnaprasad	ms-ingestion-activities-service	1	100%	100%	100%	100%
Muralidhar Krishnaprasad	Muralidhar Krishnaprasad	ms-ingestion-activities-stream-processor-infra	1	98%	48%	0%	
Muralidhar Krishnaprasad	Muralidhar Krishnaprasad	ms-ingestion-flink-operator	1	97%	91%	0%	100%
Muralidhar Krishnaprasad	Muralidhar Krishnaprasad	ms-ingestion-logs-service	1	95%	98%	98%	100%
Muralidhar Krishnaprasad	Muralidhar Krishnaprasad	ms-ingestion-logs-stream-processor-infra	1	95%	0%	0%	
Muralidhar Krishnaprasad	Muralidhar Krishnaprasad	ms-ingestion-metrics-service	1	95%	100%	98%	100%
Muralidhar Krishnaprasad	Muralidhar Krishnaprasad	ms-ingestion-metrics-stream-processor-infra	1	95%	100%	0%	
Muralidhar Krishnaprasad	Muralidhar Krishnaprasad	ms-ingestion-traces-service	1	98%	100%	98%	100%
Muralidhar Krishnaprasad	Muralidhar Krishnaprasad	ms-ingestion-traces-stream-processor-infra	1	98%	100%	0%	
Muralidhar Krishnaprasad	Muralidhar Krishnaprasad	ms-secrets-manager-api	1	95%	98%	98%	100%
Muralidhar Krishnaprasad	Muralidhar Krishnaprasad	ms-secrets-manager-provider	1	98%	98%	100%	100%
Muralidhar Krishnaprasad	Muralidhar Krishnaprasad	ms-secrets-manager-vault	1	98%	100%	0%	
Muralidhar Krishnaprasad	Muralidhar Krishnaprasad	mulesoft-anypoint-signin	1	98%	50%	99%	98%
Muralidhar Krishnaprasad	Muralidhar Krishnaprasad	mulesoft-auth-server-ui	1	98%	100%	100%	100%
Muralidhar Krishnaprasad	Muralidhar Krishnaprasad	mulesoft-authentication-server	0	95%	96%	98%	100%
Muralidhar Krishnaprasad	Muralidhar Krishnaprasad	object-store-api-service	0	96%	100%	98%	100%
Muralidhar Krishnaprasad	Muralidhar Krishnaprasad	object-store-stats-service	1	98%	100%	98%	100%
Muralidhar Krishnaprasad	Muralidhar Krishnaprasad	op-common-config-service	1	95%	98%	98%	100%
Muralidhar Krishnaprasad	Muralidhar Krishnaprasad	rtf-management-api-service	1	95%	95%	100%	100%
Muralidhar Krishnaprasad	Muralidhar Krishnaprasad	rtf-management-jms-service	1	95%	98%	100%	100%
Muralidhar Krishnaprasad	Nick Hritsko	tabcld-backgrounder-bridge-extract	1			99%	0%
Muralidhar Krishnaprasad	Nick Hritsko	tabcld-backgrounder-extract-refresh	1			77%	0%
Muralidhar Krishnaprasad	Nick Hritsko	tabcld-hyper	1	68%	32%	1%	99%
Muralidhar Krishnaprasad	Nick Hritsko	tabcld-vizdata-service-http	1			99%	0%
Muralidhar Krishnaprasad	Nick Hritsko	tabcld-vizqlserver	1	94%	10%	12%	100%
Muralidhar Krishnaprasad	Nick Hritsko	tabhf-backgrounder-bridgeextract	1			0%	0%
Muralidhar Krishnaprasad	Nick Hritsko	tabhf-backgrounder-extract-refresh	1			0%	0%
Muralidhar Krishnaprasad	Nick Hritsko	tabhf-dataserver	1	98%	0%	100%	100%
Muralidhar Krishnaprasad	Nick Hritsko	tabhf-hyper-service	1	74%	24%	0%	99%
Muralidhar Krishnaprasad	Nick Hritsko	tabhf-published-connection	1			50%	0%
Muralidhar Krishnaprasad	Nick Hritsko	tabhf-query-gateway	1	100%	0%	51%	100%
Muralidhar Krishnaprasad	Nick Hritsko	tabhf-vizdata-service	1	98%	100%	100%	100%
Muralidhar Krishnaprasad	Nick Hritsko	tabhf-vizdata-service-haproxy	1	0%	100%	0%	98%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	e360-consent	1	97%	37%	99%	100%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	e360-email-service	1	97%	37%	96%	100%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	e360-sms-send-service	1	98%	43%	99%	99%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	hsdb-runtime	0	95%	50%	99%	100%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mco-admin-tools	1	100%	100%	0%	0%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mco-arm	1	95%	0%	0%	0%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mco-cex	1	95%	5%	0%	0%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mco-echos	1	100%	0%	0%	95%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mco-ifxr	1	100%	100%	0%	0%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mco-k8sag	1	100%	100%	0%	0%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mco-kernel	1	100%	100%	0%	
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mco-logos	1	100%	0%	0%	0%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mco-msg-t	1	100%	100%	0%	0%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mco-oamzoo	1	95%	100%	0%	0%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mco-orion	1	95%	100%	0%	
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mco-pusa	1	95%	95%	0%	0%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mco-redis-m	1			0%	
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mco-redis-s	1			0%	
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mco-restgw	1	95%	100%	0%	0%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mco-shark	1	0%	100%	0%	0%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mco-slc	1	100%	100%	0%	0%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mco-smog	1	95%	100%	0%	0%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mco-smpp	1	100%	100%	0%	0%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mco-spooler	1	100%	100%	0%	0%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mco-vesag	1	95%	100%	0%	0%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mco-zookeeper	1	95%	100%	0%	
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mj-ab-testing	1	98%	76%	99%	99%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mj-analytics-db-service	1	97%	75%	100%	99%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mj-analytics-provisioning-api	1	95%	99%	99%	100%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mj-appframework-packages	1	97%	71%	99%	98%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mj-as-group-connect	1	99%	75%	99%	100%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mj-byok-ui	1	99%	49%	100%	100%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mj-ciam-c2c	0	99%	50%	99%	98%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mj-ciam-uilogin	0	95%	56%	0%	98%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mj-config-service	1	97%	51%	99%	100%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mj-datatier	1	97%	72%	0%	
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mj-device-previewer	1	96%	26%	98%	100%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mj-email-admin	1	0%	100%	98%	98%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mj-email-app	1	0%	100%	100%	98%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mj-gdou-sync	1	0%	100%	99%	84%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mj-group-connect	1	98%	75%	99%	99%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mj-group-connect-admin	1	99%	51%	99%	100%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mj-gus-service	1	98%	67%	98%	98%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mj-hydration-offload-worker	1	96%	75%	100%	0%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mj-hydration-s3-exporter	1	99%	75%	100%	0%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mj-hydration-worker	1	98%	50%	100%	0%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mj-jb-chat-messaging	1	95%	28%	97%	99%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mj-jb-email-activity	1	0%	100%	100%	100%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mj-jb-group-connect	1	98%	51%	99%	99%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mj-jb-inapp-activity	1	96%	28%	98%	97%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mj-jb-inbox-activity	1	100%	51%	99%	99%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mj-jb-push-activity	1	99%	1%	98%	100%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mj-jsgw-authmc	0	99%	80%	99%	100%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mj-jsgw-authtse	0	96%	51%	99%	99%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mj-jsgw-devicetse	0	96%	26%	99%	100%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mj-jsgw-restmc	0	98%	41%	99%	99%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mj-jsgw-resttse	0	94%	68%	99%	100%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mj-jsonmessageblock	1	98%	41%	99%	98%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mj-mccryptoservice	1	98%	51%	97%	99%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mj-mobilepushui	1	99%	1%	99%	100%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mj-msginbound-einfwdr	1	97%	51%	100%	0%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mj-msginbound-ens-webhooks-ui	1			0%	98%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mj-msginbound-webhooks	1	96%	97%	98%	0%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mj-mta-inbound	1	88%	95%	0%	
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mj-mta-outbound	1	74%	56%	0%	
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mj-sms-jbmc	1			100%	99%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mj-sms-mc	1	100%	0%	99%	100%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mj-sms-mcfuel	1	100%	51%	100%	100%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mj-srms-ui	1	97%	96%	0%	98%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	mj-whatsapp	1	99%	41%	100%	100%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	msg-devsvc	1	0%	100%	98%	97%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	ums-event-service	1	1%	100%	99%	98%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	ums-grpc-api	1	95%	86%	99%	100%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	ums-mail-archiver	1	87%	92%	99%	99%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	ums-mail-processor	1	97%	70%	99%	99%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	ums-mta-inbound	1	98%	64%	0%	
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	ums-mta-outbound	1	97%	26%	0%	
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	usms-config-api	1	95%	100%	100%	98%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	usms-event-processor	1	95%	100%	100%	100%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	usms-grpc-api	1	100%	0%	100%	100%
Muralidhar Krishnaprasad	Nischitha Thimmappa Gowda Sundaramma	usms-inbound-smpp-mo	1	95%	100%	100%	100%
Muralidhar Krishnaprasad	Oren Winter	skb-engine	1	98%	100%	99%	100%
Muralidhar Krishnaprasad	Pitch Chevalier	dc-graph-execution-service	1	98%	34%	98%	99%
Muralidhar Krishnaprasad	Pitch Chevalier	seas-control-plane	1	98%	99%	0%	
Muralidhar Krishnaprasad	Pitch Chevalier	seas-query-service	1	97%	71%	99%	99%
Muralidhar Krishnaprasad	Pitch Chevalier	seas-solr	1	98%	77%	0%	99%
Muralidhar Krishnaprasad	Pitch Chevalier	seas-zk	1	98%	100%	0%	
Muralidhar Krishnaprasad	Ramesh Ragineni	e360-queue-manager-service	1	98%	59%	99%	99%
Muralidhar Krishnaprasad	Ramesh Ragineni	e360-worker	1	97%	36%	99%	100%
Muralidhar Krishnaprasad	Ramprasadh Kothandaraman	itom-core-integration-service	0	95%	5%	0%	98%
Muralidhar Krishnaprasad	Ramprasadh Kothandaraman	itsm-cmdb-victory-discovery	0	95%	53%	0%	100%
Muralidhar Krishnaprasad	Ramprasadh Kothandaraman	itsm-cmdb-victory-management	0	100%	100%	0%	100%
Muralidhar Krishnaprasad	Ramprasadh Kothandaraman	itsm-cmdb-victory-webapp	0	100%	51%	0%	100%
Muralidhar Krishnaprasad	Raveendrnathan Loganathan	adstudio-ad-audiences-fe	1	100%	100%	0%	100%
Muralidhar Krishnaprasad	Raveendrnathan Loganathan	adstudio-campaign-service	1	100%	100%	0%	0%
Muralidhar Krishnaprasad	Raveendrnathan Loganathan	adstudio-eks	1	98%	86%	14%	71%
Muralidhar Krishnaprasad	Raveendrnathan Loganathan	adstudio-istio	1	76%	75%	50%	0%
Muralidhar Krishnaprasad	Raveendrnathan Loganathan	adstudio-istio-ingress-gateway	1	100%	0%	100%	0%
Muralidhar Krishnaprasad	Raveendrnathan Loganathan	adstudio-journey-builder-ads	1	98%	100%	0%	0%
Muralidhar Krishnaprasad	Raveendrnathan Loganathan	adstudio-lead-ingestion	1	99%	89%	0%	78%
Muralidhar Krishnaprasad	Raveendrnathan Loganathan	cdp-actions-service	1	97%	55%	99%	99%
Muralidhar Krishnaprasad	Raveendrnathan Loganathan	cdp-activation-service	1	96%	89%	99%	99%
Muralidhar Krishnaprasad	Raveendrnathan Loganathan	cdp-admin-service	0	96%	60%	99%	100%
Muralidhar Krishnaprasad	Raveendrnathan Loganathan	cdp-airflow-service	0	81%	61%	0%	99%
Muralidhar Krishnaprasad	Raveendrnathan Loganathan	cdp-authentication-service	0	96%	99%	100%	100%
Muralidhar Krishnaprasad	Raveendrnathan Loganathan	cdp-billing-service	0	97%	91%	99%	99%
Muralidhar Krishnaprasad	Raveendrnathan Loganathan	cdp-byoc	1	98%	14%	99%	99%
Muralidhar Krishnaprasad	Raveendrnathan Loganathan	cdp-byoc-krc	1	81%	85%	98%	99%
Muralidhar Krishnaprasad	Raveendrnathan Loganathan	cdp-data-capture-eks	1	98%	77%	14%	71%
Muralidhar Krishnaprasad	Raveendrnathan Loganathan	cdp-data-collaboration	1	98%	96%	99%	99%
Muralidhar Krishnaprasad	Raveendrnathan Loganathan	cdp-data-connectors	1	95%	53%	0%	100%
Muralidhar Krishnaprasad	Raveendrnathan Loganathan	cdp-data-extractor-crm-service	1	93%	86%	99%	100%
Muralidhar Krishnaprasad	Raveendrnathan Loganathan	cdp-data-extractor-dispatcher	1	96%	64%	99%	100%
Muralidhar Krishnaprasad	Raveendrnathan Loganathan	cdp-data-extractor-events	1	96%	90%	100%	100%
Muralidhar Krishnaprasad	Raveendrnathan Loganathan	cdp-data-ingestion-service	0	96%	81%	100%	96%
Muralidhar Krishnaprasad	Raveendrnathan Loganathan	cdp-data-prep	1	89%	65%	99%	100%
Muralidhar Krishnaprasad	Raveendrnathan Loganathan	cdp-data-processing-controller	0	86%	86%	26%	86%
Muralidhar Krishnaprasad	Raveendrnathan Loganathan	cdp-data-service	1	94%	69%	99%	100%
Muralidhar Krishnaprasad	Raveendrnathan Loganathan	cdp-data-sync-service	1	98%	87%	99%	99%
Muralidhar Krishnaprasad	Raveendrnathan Loganathan	cdp-data-transformation-service	1	68%	69%	99%	99%
Muralidhar Krishnaprasad	Raveendrnathan Loganathan	cdp-dpc-eks	0	76%	79%	8%	60%
Muralidhar Krishnaprasad	Raveendrnathan Loganathan	cdp-gdpr-service	1	98%	97%	99%	99%
Muralidhar Krishnaprasad	Raveendrnathan Loganathan	cdp-geo-provisioning-service	1	98%	93%	100%	99%
Muralidhar Krishnaprasad	Raveendrnathan Loganathan	cdp-iceberg-explorer	1	98%	71%	99%	99%
Muralidhar Krishnaprasad	Raveendrnathan Loganathan	cdp-inference-engine	1	94%	56%	50%	97%
Muralidhar Krishnaprasad	Raveendrnathan Loganathan	cdp-insights-engine	1	96%	94%	99%	97%
Muralidhar Krishnaprasad	Raveendrnathan Loganathan	cdp-metadata-service	0	95%	87%	99%	100%
Muralidhar Krishnaprasad	Raveendrnathan Loganathan	cdp-multiorg-service	1	98%	88%	99%	99%
Muralidhar Krishnaprasad	Raveendrnathan Loganathan	cdp-partner-activation-service	1	98%	87%	61%	99%
Muralidhar Krishnaprasad	Raveendrnathan Loganathan	cdp-profile-engine	1	96%	71%	99%	100%
Muralidhar Krishnaprasad	Raveendrnathan Loganathan	cdp-realtime-mgmt-service	1	90%	95%	99%	100%
Muralidhar Krishnaprasad	Raveendrnathan Loganathan	cdp-realtime-service	1	33%	99%	99%	98%
Muralidhar Krishnaprasad	Raveendrnathan Loganathan	cdp-scheduler-service	0	98%	66%	99%	99%
Muralidhar Krishnaprasad	Raveendrnathan Loganathan	cdp-segmentation-service	1	96%	91%	99%	100%
Muralidhar Krishnaprasad	Raveendrnathan Loganathan	credential-service	0	80%	87%	99%	100%
Muralidhar Krishnaprasad	Raveendrnathan Loganathan	ek-harmonization-service	1	98%	89%	99%	99%
Muralidhar Krishnaprasad	Srikanth Subramanian	thb-agent-api	0	98%	63%	99%	99%
Muralidhar Krishnaprasad	Srikanth Subramanian	thb-flow-action-handler	0	98%	89%	98%	99%
Muralidhar Krishnaprasad	Srikanth Subramanian	thb-iva-controller-api	0	98%	82%	99%	100%
Muralidhar Krishnaprasad	Srikanth Subramanian	thb-iva-relay-api	0	97%	73%	98%	100%
Muralidhar Krishnaprasad	Srikanth Subramanian	thb-speech-service	0	97%	100%	99%	100%
Muralidhar Krishnaprasad	Srikanth Subramanian	thb-transcript-handler	1	96%	53%	100%	99%
Muralidhar Krishnaprasad	Srikanth Subramanian	thb-voice-api	0	95%	0%	100%	98%
Muralidhar Krishnaprasad	Srikanth Subramanian	thb-voice-event-relay	0	97%	87%	99%	100%
Muralidhar Krishnaprasad	Srikanth Subramanian	thb-voice-integration	0	98%	86%	100%	100%
Muralidhar Krishnaprasad	Srikanth Subramanian	thb-voice-recording-exporter	1	97%	72%	99%	100%
Muralidhar Krishnaprasad	Srini Kandala	tabcld-backgrounder-scheduler	1	97%	77%	0%	100%
Muralidhar Krishnaprasad	Srini Kandala	tabcld-content-exploration	1	99%	93%	0%	72%
Muralidhar Krishnaprasad	Srini Kandala	tabcld-dataserver	1	97%	0%	0%	100%
Muralidhar Krishnaprasad	Srini Kandala	tabcld-scheduling-service	1	98%	34%	0%	99%
Muralidhar Krishnaprasad	Srini Kandala	tabcld-vizdata-service	1	93%	69%	99%	43%
Muralidhar Krishnaprasad	Srini Kandala	tabcld-vizdata-service-haproxy	1	0%	100%	0%	56%
Muralidhar Krishnaprasad	Srini Kandala	tabcld-vizportal	1	98%	63%	0%	94%
Muralidhar Krishnaprasad	Srini Kandala	tabcld-worker	0	97%	9%	0%	
Muralidhar Krishnaprasad	Srini Kandala	tabhf-backgrounder-scheduler	1	100%	0%	0%	100%
Muralidhar Krishnaprasad	Srini Kandala	tabhf-scheduling-service	1	100%	0%	0%	95%
Muralidhar Krishnaprasad	Stefan Piesche	cc-ecom-app-operator	1	98%	100%	0%	98%
Muralidhar Krishnaprasad	Stefan Piesche	cc-ecom-app-runtime-dev	0	97%	80%	0%	98%
Muralidhar Krishnaprasad	Stefan Piesche	cc-ecom-app-runtime-prd	0	99%	60%	0%	100%
Muralidhar Krishnaprasad	Stefan Piesche	cc-ecom-app-runtime-stg	0	97%	61%	0%	100%
Muralidhar Krishnaprasad	Stefan Piesche	cc-ecom-db-operator	1	98%	50%	0%	100%
Muralidhar Krishnaprasad	Stefan Piesche	cc-ecom-jwa-operator	1	98%	100%	0%	100%
Muralidhar Krishnaprasad	Stefan Piesche	cc-ecom-shared-fs-operator	1	0%	100%	0%	0%
Muralidhar Krishnaprasad	Stefan Piesche	cc-ecom-web-runtime-dev	0	48%	100%	0%	
Muralidhar Krishnaprasad	Stefan Piesche	cc-ecom-web-runtime-prd	0	49%	100%	0%	
Muralidhar Krishnaprasad	Stefan Piesche	cc-ecom-web-runtime-stg	0	47%	100%	0%	
Muralidhar Krishnaprasad	Steven Books	spiff-auditorium	1	0%	100%	100%	100%
Muralidhar Krishnaprasad	Steven Books	spiff-ex	1	97%	100%	100%	100%
Muralidhar Krishnaprasad	Steven Books	spiff-mcfeely	1	98%	100%	98%	100%
Muralidhar Krishnaprasad	Steven Books	spiff-nats	1	96%	100%	0%	
Muralidhar Krishnaprasad	Steven Books	spiff-peg	1	100%	100%	0%	
