servicename,total_count,on_fkp,percent_on_fkp
fawkes-mongo,1,1,100.0
fwe-o2-engine,1,1,100.0
fwe-o2-osrm-north-america,1,1,100.0
cdp-mgmt-jit-ui,1,0,0.0
chronicle-argus-adapter,1,1,100.0
exchange-customization-service,1,1,100.0
sfs-eso-data-translate,1,1,100.0
mce-envoy-metrics-scraper,1,0,0.0
onyx-agent,1,1,100.0
cdp-beacon-istio,1,0,0.0
fwe-o2-s2pip,1,1,100.0
data-cloud-cdp-fabric-access,1,0,0.0
eanalytics-redis,1,1,100.0
ums-smtp-blackhole,1,1,100.0
p13n-decisioning-pipeline,1,0,0.0
ums-dns-api,1,1,100.0
fmt-tooling,1,1,100.0
api-functional-monitoring-bat-worker-service,1,1,100.0
solr-service,1,1,100.0
ciaccdisc,1,1,100.0
interactive-data-science,1,1,100.0
smsapi,1,1,100.0
cdp-data-connectors,1,0,0.0
ms-secrets-manager-provider,1,1,100.0
bundler-manager-fedx,1,1,100.0
seas-solr,1,1,100.0
mce-sprinkler,1,0,0.0
fwe-o2-update-long,1,1,100.0
ums-mta-outbound,1,1,100.0
o2-sb-data-translator-service,1,1,100.0
wc-adapter,1,1,100.0
scrt2-conversation,1,1,100.0
evf-service,1,1,100.0
cdp-istio-ingress-gateway,1,0,0.0
bot-svc-api,1,1,100.0
exchange-auth-proxy-service,1,1,100.0
mulesoft-authentication-server,1,1,100.0
orgstore-provisioner,1,1,100.0
api-functional-monitoring-bat-analytics-service,1,1,100.0
automl-scoring-service,1,1,100.0
skywalker-reporter,1,1,100.0
o2-data-translator-service,1,1,100.0
anypoint-mq-stats-service,1,1,100.0
scrt2-telephony,1,1,100.0
fwe-bundler-manager,1,1,100.0
praui,1,1,100.0
pkicontroller,1,1,100.0
cdp-airflow-service,1,0,0.0
graph-execution-service,1,1,100.0
mce-sto-service,1,0,0.0
api-service,1,1,100.0
ml-res-evaluator,1,1,100.0
api-observability-ui,1,1,100.0
data-resilience,1,1,100.0
fit-gdot-service,1,1,100.0
cdp-data-extractor-dispatcher,1,0,0.0
cafe,1,1,100.0
ccp-eventprocessor,1,1,100.0
bharosa,1,1,100.0
dnr-connector,1,0,0.0
pbsgeo,1,1,100.0
mai-gateway,1,1,100.0
design-center-git-http-service,1,1,100.0
chronicle-grafana,1,1,100.0
cdp-eks,1,0,0.0
mediaservicefd,1,1,100.0
cdp-iceberg-explorer,1,0,0.0
semantic-engine-gateway,1,1,100.0
mce-deviner,1,0,0.0
edc-model-builder,1,0,0.0
bot-svc-engine,1,1,100.0
fwe-o2-sb-update-long,1,1,100.0
sequencer,1,1,100.0
dnrdp-nova-egress,1,1,100.0
steadybit-ext-aws,1,1,100.0
edc-inference,1,0,0.0
ccp-jobstate,1,1,100.0
arm-adam-service,1,1,100.0
deploy-webserver-anypoint,1,1,100.0
mulesoft-auth-server-ui,1,1,100.0
scrt2-livemessage,1,1,100.0
coreapp,1,1,100.0
egpt-svc-feedback,1,1,100.0
exchange-dependency-resolver-service,1,1,100.0
ums-deliverability-service,1,1,100.0
cdp-pra-istio-ingress-gateway,1,0,0.0
anypoint-flash-api-db-migrations,1,1,100.0
cdp-beacon-metrics-scraper,1,0,0.0
audit-log-deleter,1,1,100.0
ccp-submitter,1,1,100.0
cdp-billing-service,1,0,0.0
patching-bootloader-presigner,1,1,100.0
e360-whatsapp,1,1,100.0
mce-goodbye,1,0,0.0
chronicle-oracle-exporter,1,1,100.0
chronicle-alertmanager,1,1,100.0
amg-topo-tools,1,1,100.0
fawkes-platform,1,1,100.0
high-scale-flow,1,1,100.0
exchange-asset-manager-service,1,1,100.0
cdp-dpc-eks,1,0,0.0
tua-insights-service,1,1,100.0
anypoint-mq-msg-service,1,1,100.0
api-observability-xapi-service,1,1,100.0
anypoint-cli-backend-service,1,1,100.0
exchange-asset-type-service,1,1,100.0
sdb-trace-analytics,1,1,100.0
mce-metrics-guard,1,1,100.0
cfm-configuration-manager-service,1,1,100.0
policy-distribution,1,1,100.0
cp-metrics-reporting-service,1,1,100.0
crrs-fsfo-observer,1,1,100.0
caasla,1,1,100.0
mocking-backend-service,1,1,100.0
bot-svc-agg-retry,1,1,100.0
mvs,1,1,100.0
caas,1,1,100.0
api-manager-proxy-builder-service,1,1,100.0
e360-tracking-service,1,1,100.0
cdp-data-sync-service,1,0,0.0
scrt2-mpadmin,1,1,100.0
api-manager-proxies-xapi-service,1,1,100.0
mce-sto-worker,1,0,0.0
ang-catalog-jobs-service,1,1,100.0
einstein-ai-gateway,1,1,100.0
ang-publication-service,1,1,100.0
bot-svc-agg,1,1,100.0
mai-provisioner,1,1,100.0
tvm-db-automation,1,0,0.0
addons-eval-gov-iso,1,1,100.0
mce-istio,1,0,0.0
data-prism,1,1,100.0
triton,1,1,100.0
cdp-hyperdb,1,0,0.0
cloudcps,1,1,100.0
e360-queue-manager-service,1,1,100.0
mai-orchard,1,1,100.0
cdp-infra,1,0,0.0
eaas,1,1,100.0
custom-domain,1,1,100.0
scrt2-transcripts,1,1,100.0
hawking-istio-igw,1,0,0.0
exchange-maven-facade-service,1,1,100.0
api-functional-monitoring-bat-scheduler-service,1,1,100.0
scrt2-iaalert,1,1,100.0
smszk,1,1,100.0
dnr-orion,1,0,0.0
mai-sprinkler,1,1,100.0
cdp-authentication-service,1,0,0.0
fmapids,1,1,100.0
eanalytics-moana,1,1,100.0
scrt2-controlplane,1,1,100.0
mai-castle-black,1,1,100.0
cdp-job-uploader,1,0,0.0
minos,1,1,100.0
eanalytics-batch,1,1,100.0
pingmesh-agent,1,1,100.0
fawkes-ui,1,1,100.0
skb-engine,1,1,100.0
exchange-asset-portals-service,1,1,100.0
tua-timeseries-service,1,1,100.0
scrt2-routing,1,1,100.0
exchange-file-service,1,1,100.0
c2c-hf,1,1,100.0
chronicle-cloudwatch-exporter,1,1,100.0
api-functional-monitoring-bat-asset-provider-artifacts-service,1,1,100.0
skywalker,1,1,100.0
inbound-mta,1,1,100.0
ms-secrets-manager-operator,1,1,100.0
eflow-orchestration,1,1,100.0
sre-feature-flag-service,1,1,100.0
modelstore,1,1,100.0
eflow-scheduler,1,1,100.0
fees,1,1,100.0
data-cloud-segment-gen-ai,1,1,100.0
fwe-o2-optimization,1,1,100.0
platform-radio,1,1,100.0
scrt2-messagingchannels,1,1,100.0
dnr-streamingsearch,1,0,0.0
mai-compute,1,1,100.0
clm-docgen-service,1,1,100.0
ums-mail-archiver,1,1,100.0
cdp-policy-engine,1,0,0.0
terraform,1,0,0.0
op-common-config-service,1,1,100.0
fwe-bundler-avp-engine,1,1,100.0
ums-grpc-api,1,1,100.0
kraken,1,0,0.0
trino-gateway,1,1,100.0
jarvisrecipeexecutor,1,1,100.0
semantic-query-preparer,1,1,100.0
wc-processor,1,1,100.0
ccp-tracker,1,1,100.0
output-connector,1,1,100.0
ajnamirus,1,0,0.0
registry,1,0,0.0
ums-mta-inbound,1,1,100.0
bdmpresto-superset,1,1,100.0
scrt2-eventrouter,1,1,100.0
hawking-ai-observability,1,1,100.0
mulesoft-anypoint-signin,1,1,100.0
arm-alf-service,1,1,100.0
ang-governance-xapi-service,1,1,100.0
seas-control-plane,1,1,100.0
keystone-async-proc,1,1,100.0
vault-accelerator,1,1,100.0
project-view-producer-service,1,1,100.0
sfdw-playground,1,1,100.0
bdmpresto-hive-metastore,1,1,100.0
hawking-feast-serving,1,1,100.0
prediction,1,1,100.0
hawking-istio-operator,1,0,0.0
sdb-healthreports,1,1,100.0
chronicle-server,1,1,100.0
bot-svc-ratelimit,1,1,100.0
sfs-eso-data-fetch,1,1,100.0
sfs-eso-data-update,1,1,100.0
grls-operator,1,1,100.0
restoreapp,1,1,100.0
eventbusruntime,1,1,100.0
ang-governance-validation-service,1,1,100.0
dnr-airflow,1,0,0.0
bot-svc-worker,1,1,100.0
onyx-engine-control-pod,1,1,100.0
caasvb,1,1,100.0
exchange-tooling-v2-service,1,1,100.0
bundler-avp-engine-fedx,1,1,100.0
dnrdp-orion,1,1,100.0
e360-sms-send-service,1,1,100.0
kmsdb-backup-validation,1,1,100.0
ang-governance-console-ui,1,1,100.0
provisioning-service,1,1,100.0
onyx-engine,1,1,100.0
dbschema-upgrade,1,1,100.0
mce-acdc,1,0,0.0
chronicle-orchestrator,1,1,100.0
fwe-bundler-clustering,1,1,100.0
sagas-server-service,1,1,100.0
eaas-grpc-client,1,1,100.0
mai-goodbye,1,1,100.0
exchange-xapi-service,1,1,100.0
wardenwebhook,1,1,100.0
chronicle-loki,1,1,100.0
privateconnect-outbound-dp,1,0,0.0
fmtetl,1,1,100.0
p13n-recommendation-engine,1,0,0.0
cdp-data-connectors-jobs,1,0,0.0
louper-c,1,1,100.0
cdp-multiorg-service,1,0,0.0
sdb-lens,1,1,100.0
semantic-sql-generator,1,1,100.0
ums-config-manager,1,1,100.0
cdp-admin-service,1,0,0.0
cdp-gdpr-service,1,0,0.0
edc-director,1,0,0.0
cdp-realtime-service,1,0,0.0
api-manager-asset-publication-service,1,1,100.0
anypoint-mq-ui,1,1,100.0
amf-service,1,1,100.0
steadybit-agent,1,1,100.0
ums-event-service,1,1,100.0
access-management-azure-ad-oidc-wrapper,1,1,100.0
strauz,1,1,100.0
fwe-push,1,1,100.0
ums-mail-processor,1,1,100.0
bot-svc-llm,1,1,100.0
chronicle-alert-router,1,1,100.0
dnr-molokai,1,0,0.0
scrt2-stream-processor,1,1,100.0
seas-query-service,1,1,100.0
auth-service,1,1,100.0
ums-smtp-api,1,1,100.0
ms-op-common-metadata-service,1,1,100.0
mai-acdc,1,1,100.0
seciamsvc,1,1,100.0
ms-mpki-server,1,1,100.0
cdp-scheduler-service,1,0,0.0
audit-log-query-service,1,1,100.0
notebook,1,0,0.0
o2-fetch-data-service,1,1,100.0
e360-metadata-service,1,1,100.0
e360-sms-service,1,1,100.0
scrt2-agent,1,1,100.0
mulesoft-anypoint-admin-console,1,1,100.0
o2-sb-fetch-data-service,1,1,100.0
jarvisapiserver,1,1,100.0
ms-secrets-manager-vault,1,1,100.0
ums-tenant-api,1,1,100.0
bundler-clustering-fedx,1,1,100.0
cdp-envoy-metrics-scraper,1,0,0.0
dnr-fsnormalizer,1,1,100.0
mce-compute,1,0,0.0
smscanary,1,1,100.0
eventbusapi,1,1,100.0
eflow-flow-history,1,1,100.0
bot-svc-auth,1,1,100.0
bot-svc-llmagent,1,1,100.0
ums-config-api,1,1,100.0
e360-email-service,1,1,100.0
orgstore-permissions,1,1,100.0
ois,1,1,100.0
chronicle-zk,1,1,100.0
jarviscoordinator,1,1,100.0
mce-castle-black,1,0,0.0
hawking-compute-proxy,1,0,0.0
exchange-rest-connect-service,1,1,100.0
scrt2-chatbot,1,1,100.0
audit-log-consumer-service,1,1,100.0
pupparazzi,1,1,100.0
api-manager-metering-pump-job,1,1,100.0
cdp-actions-service,1,0,0.0
mce-provisioner,1,0,0.0
bot-svc-eventlogs-retry,1,1,100.0
api-manager-platform-ui,1,1,100.0
credential-service,1,0,0.0
mce-orchard,1,0,0.0
api-functional-monitoring-bat-asset-provider-results-service,1,1,100.0
cdp-settingspath-injector,1,0,0.0
hawking-app-deployment,1,1,100.0
hyperforce-service-protection,1,1,100.0
fwe-platform-ft,1,1,100.0
semantic-analytics-agent,1,1,100.0
e360-worker,1,1,100.0
caaspc,1,1,100.0
service-mesh-xapi-service,1,1,100.0
mce-eks,1,0,0.0
e360-consent,1,1,100.0
cdp-data-capture-eks,1,0,0.0
cdp-data-extractor-crm-service,1,0,0.0
