Sam_processing-1 Right-Sizing, Original Estimate ,On Track,,," $ 70,934.00 "," $ 70,934.00 "," $ 70,934.00 "," $ 70,934.00 "," $ 70,934.00 "," $ 70,934.00 "," $ 70,934.00 "," $ 70,934.00 "," $ 70,934.00 "," $ 70,934.00 "," $ 709,340.00 ",,,,,,,,,,,
, Revised Estimate ,,,,,,,,,,,,,, $ -   ,,,,,,,,,,,
, Actuals ,,,,,,,,,,,,,, $ -   ,,,,,,,,,,,
Unit Cost Change Achieved,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
mpa,env_type,total_daily_vcpu,day_count,Daily Avg of vCPU,ScaleOps Scope cpu 70%,Reserved cpu 30%,,,,,,,,,,,,,,,,,,,,
Falcon Commercial #2,prod,32993034.59,$31.00,1064291.44,745004.01,319287.4315,,,,,,,,,,,,,,,,,,,,
Falcon Commercial #1,placeholder,239.5529647,$16.00,14.97,10.48,4.491618088,,,,,,,,,,,,,,,,,,,,
Falcon Commercial #1,prod,52676712.72,$31.00,1699248.80,1189474.16,509774.6393,,,,,,,,,,,,,,,,,,,,
Falcon Commercial #2,test,59099.31623,$31.00,1906.43,1334.50,571.9288668,,,,,,,,,,,,,,,,,,,,
Falcon Commercial #1,stage,2562134.993,$31.00,82649.52,57854.66,24794.85477,,,,,,,,,,,,,,,,,,,,
Falcon Commercial #1,dev,4048786.339,$31.00,130606.01,91424.21,39181.80328,,,,,,,,,,,,,,,,,,,,
Falcon Commercial #1,fdev1,1250.02037,$31.00,40.32,28.23,12.09697132,,,,,,,,,,,,,,,,,,,,
Falcon Commercial #2,dev,1432115.766,$31.00,46197.28,32338.10,13859.18483,,,,,,,,,,,,,,,,,,,,
