,fi,fd,k8s_cluster,label_p_servicename
,aag-stage1,monitoring,sam-log-mon1,collectioninjectortest
,aag-stage1,monitoring,sam-log-mon1,hbase
,aag-stage1,monitoring,sam-log-mon1,istio-operator
,aag-stage1,monitoring,sam-log-mon1,istio-shipping
,aag-stage1,monitoring,sam-log-mon1,kubesyntheticscaler
,aag-stage1,monitoring,sam-log-mon1,madkub-injection-webhook
,aag-stage1,monitoring,sam-log-mon1,madkub-watchdog
,aag-stage1,monitoring,sam-log-mon1,metadata-concealer
,aag-stage1,monitoring,sam-log-mon1,sam
,aag-stage1,monitoring,sam-log-mon1,spo
,aag-stage1,monitoring,sam-log-mon1,stampy-webhook
,aag-stage1,monitoring,sam-processing1,argo-rollout
,aag-stage1,monitoring,sam-processing1,authzwebhook
,aag-stage1,monitoring,sam-processing1,clustermanagement
,aag-stage1,monitoring,sam-processing1,collection
,aag-stage1,monitoring,sam-processing1,collectioninjector
,aag-stage1,monitoring,sam-processing1,collectioninjectortest
,aag-stage1,monitoring,sam-processing1,fit-controller-service
,aag-stage1,monitoring,sam-processing1,fit-test-twister
,aag-stage1,monitoring,sam-processing1,ingressassistant
,aag-stage1,monitoring,sam-processing1,ingressgateway
,aag-stage1,monitoring,sam-processing1,integration-test-service
,aag-stage1,monitoring,sam-processing1,istio-copilot
,aag-stage1,monitoring,sam-processing1,istio-metrics-service
,aag-stage1,monitoring,sam-processing1,istio-operator
,aag-stage1,monitoring,sam-processing1,istio-ordering
,aag-stage1,monitoring,sam-processing1,istio-shipping
,aag-stage1,monitoring,sam-processing1,istiod
,aag-stage1,monitoring,sam-processing1,kubesyntheticscaler
,aag-stage1,monitoring,sam-processing1,madkub-injection-webhook
,aag-stage1,monitoring,sam-processing1,madkub-watchdog
,aag-stage1,monitoring,sam-processing1,mesh-operator
,aag-stage1,monitoring,sam-processing1,metadata-concealer
,aag-stage1,monitoring,sam-processing1,sam
,aag-stage1,monitoring,sam-processing1,stampy-webhook
,aag-stage1,monitoring,splunkmadeira1,clustermanagement
,aag-stage1,monitoring,splunkmadeira1,collection
,aag-stage1,monitoring,splunkmadeira1,collectioninjector
,aag-stage1,monitoring,splunkmadeira1,madkub-injection-webhook
,aag-stage1,monitoring,splunkmadeira1,madkub-watchdog
,aag-stage1,monitoring,splunkmadeira1,metadata-concealer
,aag-stage1,monitoring,splunkmadeira1,splunkmadeira
,aag-stage1,monitoring,splunkmadeira1,stampy-webhook
,aag-stage1,pcs,fit1,clustermanagement
,aag-stage1,pcs,fit1,collection
,aag-stage1,pcs,fit1,collectioninjector
,aag-stage1,pcs,fit1,fit-controller-service
,aag-stage1,pcs,fit1,fit-test-twister
,aag-stage1,pcs,fit1,integration-test-service
,aag-stage1,pcs,fit1,madkub-injection-webhook
,aag-stage1,pcs,fit1,madkub-watchdog
,aag-stage1,pcs,fit1,metadata-concealer
,aag-stage1,pcs,fit1,stampy-webhook
,aag-stage1,pcs,k8s,ajnakafka
,aag-stage1,pcs,k8s,ajnakmf
,aag-stage1,pcs,k8s,ajnaloadmgr
,aag-stage1,pcs,k8s,clustermanagement
,aag-stage1,pcs,k8s,collection
,aag-stage1,pcs,k8s,collectioninjector
,aag-stage1,pcs,k8s,madkub-injection-webhook
,aag-stage1,pcs,k8s,madkub-watchdog
,aag-stage1,pcs,k8s,metadata-concealer
,aag-stage1,pcs,k8s,stampy-webhook
,aag-stage1,pcs,pcs-services1,clustermanagement
,aag-stage1,pcs,pcs-services1,collection
,aag-stage1,pcs,pcs-services1,collectioninjector
,aag-stage1,pcs,pcs-services1,madkub-injection-webhook
,aag-stage1,pcs,pcs-services1,madkub-watchdog
