fi,fd,k8s_cluster,label_p_servicename,customerType,migrationStage
aag-stage1,core1,sam-restricted2,madkub-watchdog,BlackJack,1
aag-stage1,core1,sam-restricted2,metadata-concealer,BlackJack,1
aag-stage1,core1,sam-restricted2,sam,BlackJack,1
aag-stage1,core1,sam-restricted2,spo,BlackJack,1
aag-stage1,core1,sam-restricted2,stampy-webhook,BlackJack,1
aag-stage1,core1,sam-restricted4,authzwebhook,BlackJack,1
aag-stage1,core1,sam-restricted4,clustermanagement,BlackJack,1
aag-stage1,core1,sam-restricted4,collection,BlackJack,1
aag-stage1,core1,sam-restricted4,collectioninjector,BlackJack,1
aag-stage1,core1,sam-restricted4,collectioninjectortest,BlackJack,1
aag-stage1,core1,sam-restricted4,kubesyntheticscaler,BlackJack,1
aag-stage1,core1,sam-restricted4,madkub-injection-webhook,BlackJack,1
aag-stage1,core1,sam-restricted4,madkub-watchdog,BlackJack,1
aag-stage1,core1,sam-restricted4,metadata-concealer,BlackJack,1
aag-stage1,core1,sam-restricted4,sam,BlackJack,1
aag-stage1,core1,sam-restricted4,stampy-webhook,BlackJack,1
aag-stage1,core1,sam-restricted5,authzwebhook,BlackJack,1
aag-stage1,core1,sam-restricted5,clustermanagement,BlackJack,1
aag-stage1,core1,sam-restricted5,collection,BlackJack,1
aag-stage1,core1,sam-restricted5,collectioninjector,BlackJack,1
aag-stage1,core1,sam-restricted5,collectioninjectortest,BlackJack,1
aag-stage1,core1,sam-restricted5,kubesyntheticscaler,BlackJack,1
aag-stage1,core1,sam-restricted5,madkub-injection-webhook,BlackJack,1
aag-stage1,core1,sam-restricted5,madkub-watchdog,BlackJack,1
aag-stage1,core1,sam-restricted5,metadata-concealer,BlackJack,1
aag-stage1,core1,sam-restricted5,sam,BlackJack,1
aag-stage1,core1,sam-restricted5,stampy-webhook,BlackJack,1
aag-stage1,core1,sdb-prod,collection,BlackJack,1
aag-stage1,core1,sdb-prod,collectioninjector,BlackJack,1
aag-stage1,core1,sdb-prod,madkub-injection-webhook,BlackJack,1
aag-stage1,core1,sdb-prod,madkub-watchdog,BlackJack,1
aag-stage1,core1,sdb-prod,metadata-concealer,BlackJack,1
aag-stage1,core1,sdb-prod,sdb,BlackJack,1
aag-stage1,core1,sdb-prod,sdbarchivalworker,BlackJack,1
aag-stage1,core1,sdb-prod,sdbstore,BlackJack,1
aag-stage1,core1,sdb-prod,sdbzk,BlackJack,1
aag-stage1,core1,sdb-prod,stampy-webhook,BlackJack,1
aag-stage1,core1,sdb-restore,collection,BlackJack,1
aag-stage1,core1,sdb-restore,collectioninjector,BlackJack,1
aag-stage1,core1,sdb-restore,madkub-injection-webhook,BlackJack,1
aag-stage1,core1,sdb-restore,madkub-watchdog,BlackJack,1
aag-stage1,core1,sdb-restore,metadata-concealer,BlackJack,1
aag-stage1,core1,sdb-restore,sdbarchivalworker,BlackJack,1
aag-stage1,core1,sdb-restore,sdbstore,BlackJack,1
aag-stage1,core1,sdb-restore,sdbzk,BlackJack,1
aag-stage1,core1,sdb-restore,stampy-webhook,BlackJack,1
aag-stage1,crypto,fit1,clustermanagement,BlackJack,1
aag-stage1,crypto,fit1,collection,BlackJack,1
aag-stage1,crypto,fit1,collectioninjector,BlackJack,1
aag-stage1,crypto,fit1,fit-controller-service,BlackJack,1
aag-stage1,crypto,fit1,fit-test-twister,BlackJack,1
aag-stage1,crypto,fit1,integration-test-service,BlackJack,1
aag-stage1,crypto,fit1,madkub-injection-webhook,BlackJack,1
aag-stage1,crypto,fit1,madkub-watchdog,BlackJack,1
aag-stage1,crypto,fit1,metadata-concealer,BlackJack,1
aag-stage1,crypto,fit1,stampy-webhook,BlackJack,1
aag-stage1,crypto,kms-services,clustermanagement,BlackJack,1
aag-stage1,crypto,kms-services,collection,BlackJack,1
aag-stage1,crypto,kms-services,collectioninjector,BlackJack,1
aag-stage1,crypto,kms-services,kmsinfra,BlackJack,1
aag-stage1,crypto,kms-services,madkub-injection-webhook,BlackJack,1
aag-stage1,crypto,kms-services,madkub-watchdog,BlackJack,1
aag-stage1,crypto,kms-services,metadata-concealer,BlackJack,1
aag-stage1,crypto,kms-services,smsapi,BlackJack,1
aag-stage1,crypto,kms-services,smscanary,BlackJack,1
aag-stage1,crypto,kms-services,smszk,BlackJack,1
aag-stage1,crypto,kms-services,stampy-webhook,BlackJack,1
aag-stage1,diffeo,fit1,clustermanagement,BlackJack,1
aag-stage1,diffeo,fit1,collection,BlackJack,1
aag-stage1,diffeo,fit1,collectioninjector,BlackJack,1
aag-stage1,diffeo,fit1,fit-controller-service,BlackJack,1
aag-stage1,diffeo,fit1,fit-test-twister,BlackJack,1
aag-stage1,diffeo,fit1,integration-test-service,BlackJack,1
aag-stage1,diffeo,fit1,madkub-injection-webhook,BlackJack,1
aag-stage1,diffeo,fit1,madkub-watchdog,BlackJack,1
aag-stage1,diffeo,fit1,metadata-concealer,BlackJack,1
aag-stage1,diffeo,fit1,stampy-webhook,BlackJack,1
aag-stage1,diffeo,sam-processing1,collectioninjectortest,BlackJack,1
